#: table_doi: 10.17182/hepdata.74824.v1/t94
#: name: Table 94
#: description: S wave cross section for -T.

#: data_file: Table94.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
1.0950000000000002,1.09,1.1,0.3065,0.2343,-0.2343
1.105,1.1,1.11,0.3261,0.2416,-0.2416
1.1150000000000002,1.11,1.12,0.346,0.249,-0.249
1.125,1.12,1.13,0.3656,0.2563,-0.2563
1.1349999999999998,1.13,1.14,0.3846,0.2635,-0.2635
1.145,1.14,1.15,0.4026,0.2703,-0.2703
1.1549999999999998,1.15,1.16,0.4193,0.2767,-0.2767
1.165,1.16,1.17,0.4343,0.2827,-0.2827
1.1749999999999998,1.17,1.18,0.4474,0.2881,-0.2881
1.185,1.18,1.19,0.4583,0.2929,-0.2929
1.1949999999999998,1.19,1.2,0.4667,0.2971,-0.2971
1.205,1.2,1.21,0.4725,0.3007,-0.3007
1.2149999999999999,1.21,1.22,0.4753,0.3035,-0.3035
1.225,1.22,1.23,0.4752,0.3056,-0.3056
1.2349999999999999,1.23,1.24,0.472,0.307,-0.307
1.245,1.24,1.25,0.4656,0.3075,-0.3075
1.255,1.25,1.26,0.456,0.3073,-0.3073
1.2650000000000001,1.26,1.27,0.4433,0.3062,-0.3062
1.275,1.27,1.28,0.4276,0.3042,-0.3042
1.2850000000000001,1.28,1.29,0.409,0.3012,-0.3012
1.295,1.29,1.3,0.3878,0.2972,-0.2972
1.3050000000000002,1.3,1.31,0.3643,0.2921,-0.2921
1.315,1.31,1.32,0.3389,0.2858,-0.2858
1.3250000000000002,1.32,1.33,0.3119,0.2782,-0.2782
1.335,1.33,1.34,0.2841,0.2694,-0.2694
1.3450000000000002,1.34,1.35,0.2559,0.2594,-0.2594
1.355,1.35,1.36,0.2283,0.2482,-0.2482
1.3650000000000002,1.36,1.37,0.2021,0.2363,-0.2363
1.375,1.37,1.38,0.1782,0.2243,-0.2243
1.3849999999999998,1.38,1.39,0.1578,0.2134,-0.2134
1.395,1.39,1.4,0.1421,0.2055,-0.2055

