#: table_doi: 10.17182/hepdata.74824.v1/t156
#: name: Table 156
#: description: Fm wave cross section for -T.

#: data_file: Table156.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.765,0.76,0.77,0.0793,0.0367,-0.0367
0.775,0.77,0.78,0.0802,0.0374,-0.0374
0.785,0.78,0.79,0.0812,0.038,-0.038
0.795,0.79,0.8,0.0821,0.0387,-0.0387
0.805,0.8,0.81,0.083,0.0394,-0.0394
0.815,0.81,0.82,0.0838,0.0402,-0.0402
0.825,0.82,0.83,0.0846,0.0409,-0.0409
0.835,0.83,0.84,0.0855,0.0417,-0.0417
0.845,0.84,0.85,0.0863,0.0425,-0.0425
0.855,0.85,0.86,0.0871,0.0433,-0.0433
0.865,0.86,0.87,0.0878,0.0442,-0.0442
0.875,0.87,0.88,0.0886,0.045,-0.045
0.885,0.88,0.89,0.0894,0.0459,-0.0459
0.895,0.89,0.9,0.0902,0.0469,-0.0469
0.905,0.9,0.91,0.0911,0.0478,-0.0478
0.915,0.91,0.92,0.0919,0.0488,-0.0488
0.925,0.92,0.93,0.0928,0.0498,-0.0498
0.935,0.93,0.94,0.0937,0.0509,-0.0509
0.945,0.94,0.95,0.0947,0.052,-0.052
0.955,0.95,0.96,0.0956,0.0531,-0.0531
0.965,0.96,0.97,0.0967,0.0542,-0.0542
0.975,0.97,0.98,0.0978,0.0554,-0.0554
0.985,0.98,0.99,0.099,0.0566,-0.0566
0.995,0.99,1.0,0.1002,0.0578,-0.0578
1.005,1.0,1.01,0.1015,0.0591,-0.0591
1.0150000000000001,1.01,1.02,0.1029,0.0604,-0.0604
1.025,1.02,1.03,0.1044,0.0617,-0.0617
1.0350000000000001,1.03,1.04,0.106,0.0631,-0.0631
1.045,1.04,1.05,0.1077,0.0645,-0.0645
1.0550000000000002,1.05,1.06,0.1095,0.0659,-0.0659
1.065,1.06,1.07,0.1115,0.0674,-0.0674
1.0750000000000002,1.07,1.08,0.1136,0.0689,-0.0689
1.085,1.08,1.09,0.1158,0.0705,-0.0705
1.0950000000000002,1.09,1.1,0.1181,0.0721,-0.0721
1.105,1.1,1.11,0.1207,0.0737,-0.0737
