#: table_doi: 10.17182/hepdata.74824.v1/t136
#: name: Table 136
#: description: D0 wave cross section for -T.

#: data_file: Table136.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
1.2650000000000001,1.26,1.27,0.3399,0.1565,-0.1565
1.275,1.27,1.28,0.3349,0.1633,-0.1633
1.2850000000000001,1.28,1.29,0.3262,0.1725,-0.1725
1.295,1.29,1.3,0.3142,0.183,-0.183
1.3050000000000002,1.3,1.31,0.2997,0.1936,-0.1936
1.315,1.31,1.32,0.2835,0.2032,-0.2032
1.3250000000000002,1.32,1.33,0.2666,0.211,-0.211
1.335,1.33,1.34,0.2499,0.2167,-0.2167
1.3450000000000002,1.34,1.35,0.2337,0.22,-0.22
1.355,1.35,1.36,0.2187,0.2211,-0.2211
1.3650000000000002,1.36,1.37,0.2051,0.2201,-0.2201
1.375,1.37,1.38,0.193,0.2174,-0.2174
1.3849999999999998,1.38,1.39,0.1827,0.2136,-0.2136
1.395,1.39,1.4,0.1742,0.2091,-0.2091

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0663,0.0291,-0.0291
0.415,0.41,0.42,0.0644,0.0292,-0.0292
0.425,0.42,0.43,0.0629,0.0299,-0.0299
0.435,0.43,0.44,0.0617,0.0309,-0.0309
0.445,0.44,0.45,0.0608,0.0322,-0.0322
0.455,0.45,0.46,0.06,0.0337,-0.0337
0.46499999999999997,0.46,0.47,0.0595,0.0352,-0.0352
0.475,0.47,0.48,0.0592,0.0368,-0.0368
0.485,0.48,0.49,0.059,0.0382,-0.0382
0.495,0.49,0.5,0.059,0.0396,-0.0396
0.505,0.5,0.51,0.059,0.0409,-0.0409
0.515,0.51,0.52,0.0592,0.0419,-0.0419
0.525,0.52,0.53,0.0594,0.0429,-0.0429
0.535,0.53,0.54,0.0597,0.0436,-0.0436
0.545,0.54,0.55,0.06,0.0442,-0.0442
0.555,0.55,0.56,0.0604,0.0446,-0.0446
0.565,0.56,0.57,0.0607,0.0448,-0.0448
0.575,0.57,0.58,0.0611,0.0449,-0.0449
0.585,0.58,0.59,0.0615,0.0448,-0.0448
0.595,0.59,0.6,0.0619,0.0447,-0.0447
0.605,0.6,0.61,0.0623,0.0444,-0.0444
0.615,0.61,0.62,0.0627,0.044,-0.044
0.625,0.62,0.63,0.063,0.0436,-0.0436
0.635,0.63,0.64,0.0633,0.0431,-0.0431
0.645,0.64,0.65,0.0636,0.0427,-0.0427
0.655,0.65,0.66,0.0639,0.0422,-0.0422
0.665,0.66,0.67,0.0641,0.0418,-0.0418
0.675,0.67,0.68,0.0643,0.0414,-0.0414
0.685,0.68,0.69,0.0644,0.0412,-0.0412
0.695,0.69,0.7,0.0645,0.041,-0.041
0.705,0.7,0.71,0.0646,0.041,-0.041
0.715,0.71,0.72,0.0646,0.0411,-0.0411
0.725,0.72,0.73,0.0646,0.0413,-0.0413
0.735,0.73,0.74,0.0646,0.0417,-0.0417
0.745,0.74,0.75,0.0645,0.0422,-0.0422
0.755,0.75,0.76,0.0644,0.0428,-0.0428
0.765,0.76,0.77,0.0643,0.0435,-0.0435
0.775,0.77,0.78,0.0641,0.0443,-0.0443
0.785,0.78,0.79,0.0639,0.0451,-0.0451
0.795,0.79,0.8,0.0636,0.046,-0.046
0.805,0.8,0.81,0.0634,0.0469,-0.0469
0.815,0.81,0.82,0.0631,0.0479,-0.0479
0.825,0.82,0.83,0.0628,0.0488,-0.0488
0.835,0.83,0.84,0.0624,0.0496,-0.0496
0.845,0.84,0.85,0.0621,0.0505,-0.0505
