#: table_doi: 10.17182/hepdata.74824.v1/t178
#: name: Table 178
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table178.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
1.0550000000000002,1.05,1.06,0.1415,0.0531,-0.0531
1.065,1.06,1.07,0.1434,0.0528,-0.0528
1.0750000000000002,1.07,1.08,0.1452,0.0524,-0.0524
1.085,1.08,1.09,0.147,0.0519,-0.0519
1.0950000000000002,1.09,1.1,0.1487,0.0514,-0.0514
1.105,1.1,1.11,0.1504,0.0508,-0.0508
1.1150000000000002,1.11,1.12,0.152,0.05,-0.05
1.125,1.12,1.13,0.1537,0.0491,-0.0491
1.1349999999999998,1.13,1.14,0.1553,0.0481,-0.0481
1.145,1.14,1.15,0.1569,0.047,-0.047
1.1549999999999998,1.15,1.16,0.1585,0.0456,-0.0456
1.165,1.16,1.17,0.1602,0.0442,-0.0442
1.1749999999999998,1.17,1.18,0.1619,0.0427,-0.0427
1.185,1.18,1.19,0.1636,0.0411,-0.0411
1.1949999999999998,1.19,1.2,0.1653,0.0397,-0.0397
1.205,1.2,1.21,0.167,0.0385,-0.0385
1.2149999999999999,1.21,1.22,0.1688,0.0376,-0.0376
1.225,1.22,1.23,0.1707,0.0372,-0.0372
1.2349999999999999,1.23,1.24,0.1726,0.0372,-0.0372
1.245,1.24,1.25,0.1746,0.0375,-0.0375
1.255,1.25,1.26,0.1769,0.0381,-0.0381
1.2650000000000001,1.26,1.27,0.1793,0.039,-0.039
1.275,1.27,1.28,0.1821,0.0401,-0.0401
1.2850000000000001,1.28,1.29,0.1853,0.0415,-0.0415
1.295,1.29,1.3,0.1887,0.0435,-0.0435
1.3050000000000002,1.3,1.31,0.1922,0.0459,-0.0459
1.315,1.31,1.32,0.1959,0.0489,-0.0489
1.3250000000000002,1.32,1.33,0.1993,0.0523,-0.0523
1.335,1.33,1.34,0.2022,0.0557,-0.0557
1.3450000000000002,1.34,1.35,0.2045,0.0586,-0.0586
1.355,1.35,1.36,0.2056,0.0608,-0.0608
1.3650000000000002,1.36,1.37,0.2053,0.0619,-0.0619
1.375,1.37,1.38,0.2034,0.0616,-0.0616
1.3849999999999998,1.38,1.39,0.1996,0.0599,-0.0599
1.395,1.39,1.4,0.1938,0.0569,-0.0569

