#: table_doi: 10.17182/hepdata.74824.v1/t183
#: name: Table 183
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table183.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.595,0.59,0.6,0.0218,0.0249,-0.0249
0.605,0.6,0.61,0.0245,0.0231,-0.0231
0.615,0.61,0.62,0.027,0.0211,-0.0211
0.625,0.62,0.63,0.0294,0.0188,-0.0188
0.635,0.63,0.64,0.0315,0.0165,-0.0165
0.645,0.64,0.65,0.0334,0.0145,-0.0145
0.655,0.65,0.66,0.0349,0.0131,-0.0131
0.665,0.66,0.67,0.0361,0.0127,-0.0127
0.675,0.67,0.68,0.0369,0.0134,-0.0134
0.685,0.68,0.69,0.0372,0.015,-0.015
0.695,0.69,0.7,0.037,0.017,-0.017
0.705,0.7,0.71,0.0362,0.019,-0.019
0.715,0.71,0.72,0.0348,0.0208,-0.0208
0.725,0.72,0.73,0.0328,0.0221,-0.0221
0.735,0.73,0.74,0.0301,0.0229,-0.0229
0.745,0.74,0.75,0.0267,0.023,-0.023
0.755,0.75,0.76,0.0227,0.0224,-0.0224
0.765,0.76,0.77,0.018,0.0212,-0.0212
0.775,0.77,0.78,0.0129,0.0195,-0.0195
0.785,0.78,0.79,0.0073,0.0177,-0.0177
0.795,0.79,0.8,0.0014,0.0161,-0.0161
0.805,0.8,0.81,-0.0048,0.0152,-0.0152
0.815,0.81,0.82,-0.011,0.0156,-0.0156
0.825,0.82,0.83,-0.0173,0.0172,-0.0172
0.835,0.83,0.84,-0.0234,0.0196,-0.0196
0.845,0.84,0.85,-0.0293,0.0224,-0.0224
0.855,0.85,0.86,-0.0349,0.0254,-0.0254
0.865,0.86,0.87,-0.0402,0.0281,-0.0281
0.875,0.87,0.88,-0.045,0.0304,-0.0304
0.885,0.88,0.89,-0.0494,0.0323,-0.0323
0.895,0.89,0.9,-0.0534,0.0337,-0.0337
0.905,0.9,0.91,-0.057,0.0345,-0.0345
0.915,0.91,0.92,-0.0601,0.0348,-0.0348
0.925,0.92,0.93,-0.0628,0.0345,-0.0345
0.935,0.93,0.94,-0.0651,0.0338,-0.0338
0.945,0.94,0.95,-0.067,0.0326,-0.0326
0.955,0.95,0.96,-0.0687,0.0311,-0.0311
0.965,0.96,0.97,-0.0703,0.0293,-0.0293
0.975,0.97,0.98,-0.0725,0.0275,-0.0275
0.985,0.98,0.99,-0.0783,0.0273,-0.0273
0.995,0.99,1.0,-0.0812,0.027,-0.027
1.005,1.0,1.01,-0.083,0.0241,-0.0241
1.0150000000000001,1.01,1.02,-0.0856,0.0218,-0.0218
1.025,1.02,1.03,-0.0882,0.0197,-0.0197
1.0350000000000001,1.03,1.04,-0.0905,0.0178,-0.0178
1.045,1.04,1.05,-0.0925,0.0163,-0.0163
1.0550000000000002,1.05,1.06,-0.0941,0.0154,-0.0154
1.065,1.06,1.07,-0.0955,0.0153,-0.0153
1.0750000000000002,1.07,1.08,-0.0965,0.0159,-0.0159
1.085,1.08,1.09,-0.0972,0.0172,-0.0172
1.0950000000000002,1.09,1.1,-0.0975,0.0189,-0.0189
1.105,1.1,1.11,-0.0976,0.0209,-0.0209
1.1150000000000002,1.11,1.12,-0.0974,0.023,-0.023
1.125,1.12,1.13,-0.097,0.025,-0.025
1.1349999999999998,1.13,1.14,-0.0962,0.0268,-0.0268
1.145,1.14,1.15,-0.0953,0.0284,-0.0284
1.1549999999999998,1.15,1.16,-0.0941,0.0297,-0.0297
1.165,1.16,1.17,-0.0927,0.0305,-0.0305
1.1749999999999998,1.17,1.18,-0.0911,0.0309,-0.0309
1.185,1.18,1.19,-0.0893,0.0307,-0.0307
1.1949999999999998,1.19,1.2,-0.0874,0.0299,-0.0299
1.205,1.2,1.21,-0.0854,0.0285,-0.0285
1.2149999999999999,1.21,1.22,-0.0834,0.0267,-0.0267
1.225,1.22,1.23,-0.0817,0.0244,-0.0244
1.2349999999999999,1.23,1.24,-0.0803,0.0219,-0.0219
1.245,1.24,1.25,-0.0795,0.0196,-0.0196
1.255,1.25,1.26,-0.0796,0.0176,-0.0176
1.2650000000000001,1.26,1.27,-0.0807,0.0163,-0.0163
1.275,1.27,1.28,-0.083,0.0159,-0.0159
1.2850000000000001,1.28,1.29,-0.0866,0.0163,-0.0163
1.295,1.29,1.3,-0.0916,0.0172,-0.0172
1.3050000000000002,1.3,1.31,-0.0981,0.0187,-0.0187
1.315,1.31,1.32,-0.1058,0.0205,-0.0205
1.3250000000000002,1.32,1.33,-0.1147,0.0225,-0.0225
1.335,1.33,1.34,-0.1246,0.0246,-0.0246
1.3450000000000002,1.34,1.35,-0.1349,0.0265,-0.0265
1.355,1.35,1.36,-0.1453,0.0283,-0.0283
1.3650000000000002,1.36,1.37,-0.1549,0.0298,-0.0298
1.375,1.37,1.38,-0.1632,0.0315,-0.0315
1.3849999999999998,1.38,1.39,-0.1694,0.034,-0.034
1.395,1.39,1.4,-0.173,0.0381,-0.0381

