#: table_doi: 10.17182/hepdata.74824.v1/t141
#: name: Table 141
#: description: Dp wave cross section for -T.

#: data_file: Table141.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
1.1549999999999998,1.15,1.16,0.0537,0.058,-0.058
1.165,1.16,1.17,0.0556,0.0612,-0.0612
1.1749999999999998,1.17,1.18,0.0595,0.0656,-0.0656
1.185,1.18,1.19,0.0659,0.0713,-0.0713
1.1949999999999998,1.19,1.2,0.0753,0.0782,-0.0782
1.205,1.2,1.21,0.0881,0.0863,-0.0863
1.2149999999999999,1.21,1.22,0.1045,0.0954,-0.0954
1.225,1.22,1.23,0.1246,0.1054,-0.1054
1.2349999999999999,1.23,1.24,0.1477,0.1157,-0.1157
1.245,1.24,1.25,0.1726,0.1256,-0.1256
1.255,1.25,1.26,0.1974,0.1345,-0.1345
1.2650000000000001,1.26,1.27,0.2196,0.1418,-0.1418
1.275,1.27,1.28,0.2367,0.1472,-0.1472
1.2850000000000001,1.28,1.29,0.2466,0.1506,-0.1506
1.295,1.29,1.3,0.2484,0.1522,-0.1522
1.3050000000000002,1.3,1.31,0.2422,0.1525,-0.1525
1.315,1.31,1.32,0.2292,0.152,-0.152
1.3250000000000002,1.32,1.33,0.2112,0.1511,-0.1511
1.335,1.33,1.34,0.1902,0.1498,-0.1498
1.3450000000000002,1.34,1.35,0.1681,0.1479,-0.1479
1.355,1.35,1.36,0.1468,0.1453,-0.1453
1.3650000000000002,1.36,1.37,0.1274,0.1418,-0.1418
1.375,1.37,1.38,0.1114,0.1379,-0.1379
1.3849999999999998,1.38,1.39,0.0995,0.1344,-0.1344
1.395,1.39,1.4,0.0926,0.133,-0.133

