#: table_doi: 10.17182/hepdata.74824.v1/t104
#: name: Table 104
#: description: Pm wave cross section for -T.

#: data_file: Table104.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
1.1949999999999998,1.19,1.2,0.1494,0.1461,-0.1461
1.205,1.2,1.21,0.1421,0.1456,-0.1456
1.2149999999999999,1.21,1.22,0.135,0.145,-0.145
1.225,1.22,1.23,0.1282,0.1443,-0.1443
1.2349999999999999,1.23,1.24,0.1217,0.1435,-0.1435
1.245,1.24,1.25,0.1156,0.1427,-0.1427
1.255,1.25,1.26,0.1103,0.142,-0.142
1.2650000000000001,1.26,1.27,0.1056,0.1415,-0.1415
1.275,1.27,1.28,0.102,0.1414,-0.1414
1.2850000000000001,1.28,1.29,0.0995,0.1418,-0.1418
1.295,1.29,1.3,0.0984,0.143,-0.143
1.3050000000000002,1.3,1.31,0.0989,0.1453,-0.1453
1.315,1.31,1.32,0.1013,0.1489,-0.1489
1.3250000000000002,1.32,1.33,0.1059,0.1542,-0.1542
1.335,1.33,1.34,0.1131,0.1614,-0.1614
1.3450000000000002,1.34,1.35,0.1233,0.171,-0.171
1.355,1.35,1.36,0.1367,0.1834,-0.1834
1.3650000000000002,1.36,1.37,0.1539,0.1987,-0.1987
1.375,1.37,1.38,0.1754,0.2174,-0.2174
1.3849999999999998,1.38,1.39,0.2016,0.2396,-0.2396
1.395,1.39,1.4,0.2331,0.2657,-0.2657

