#: table_doi: 10.17182/hepdata.74824.v1/t124
#: name: Table 124
#: description: D wave cross section for -T.

#: data_file: Table124.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.945,0.94,0.95,0.316,0.1379,-0.1379
0.955,0.95,0.96,0.3174,0.1402,-0.1402
0.965,0.96,0.97,0.3186,0.1425,-0.1425
0.975,0.97,0.98,0.3195,0.1449,-0.1449
0.985,0.98,0.99,0.3201,0.1474,-0.1474
0.995,0.99,1.0,0.3205,0.1499,-0.1499
1.005,1.0,1.01,0.3207,0.1526,-0.1526
1.0150000000000001,1.01,1.02,0.3207,0.1554,-0.1554
1.025,1.02,1.03,0.3206,0.1583,-0.1583
1.0350000000000001,1.03,1.04,0.3203,0.1614,-0.1614
1.045,1.04,1.05,0.3201,0.1647,-0.1647
1.0550000000000002,1.05,1.06,0.3199,0.1681,-0.1681
1.065,1.06,1.07,0.3199,0.1717,-0.1717
1.0750000000000002,1.07,1.08,0.3203,0.1754,-0.1754
1.085,1.08,1.09,0.3213,0.1793,-0.1793
1.0950000000000002,1.09,1.1,0.3231,0.1834,-0.1834
1.105,1.1,1.11,0.326,0.1875,-0.1875
1.1150000000000002,1.11,1.12,0.3303,0.1917,-0.1917
1.125,1.12,1.13,0.3365,0.196,-0.196
1.1349999999999998,1.13,1.14,0.3451,0.2003,-0.2003
1.145,1.14,1.15,0.3566,0.2046,-0.2046
1.1549999999999998,1.15,1.16,0.3716,0.2089,-0.2089
1.165,1.16,1.17,0.391,0.2131,-0.2131
1.1749999999999998,1.17,1.18,0.4153,0.2173,-0.2173
1.185,1.18,1.19,0.4453,0.2215,-0.2215
1.1949999999999998,1.19,1.2,0.4812,0.226,-0.226
1.205,1.2,1.21,0.5232,0.2313,-0.2313
1.2149999999999999,1.21,1.22,0.5706,0.2379,-0.2379
1.225,1.22,1.23,0.6217,0.2467,-0.2467
1.2349999999999999,1.23,1.24,0.6738,0.2587,-0.2587
1.245,1.24,1.25,0.7226,0.2742,-0.2742
1.255,1.25,1.26,0.763,0.2931,-0.2931
1.2650000000000001,1.26,1.27,0.7896,0.3139,-0.3139
1.275,1.27,1.28,0.7982,0.3344,-0.3344
1.2850000000000001,1.28,1.29,0.7868,0.3521,-0.3521
1.295,1.29,1.3,0.7562,0.365,-0.365
1.3050000000000002,1.3,1.31,0.7097,0.372,-0.372
1.315,1.31,1.32,0.6523,0.3731,-0.3731
1.3250000000000002,1.32,1.33,0.5894,0.3691,-0.3691
1.335,1.33,1.34,0.5261,0.3614,-0.3614
1.3450000000000002,1.34,1.35,0.4665,0.3516,-0.3516
1.355,1.35,1.36,0.4137,0.3416,-0.3416
1.3650000000000002,1.36,1.37,0.3701,0.3333,-0.3333
1.375,1.37,1.38,0.3373,0.3288,-0.3288
1.3849999999999998,1.38,1.39,0.3163,0.33,-0.33
1.395,1.39,1.4,0.3083,0.3385,-0.3385

