#: table_doi: 10.17182/hepdata.74824.v1/t108
#: name: Table 108
#: description: Pm wave cross section for -T.

#: data_file: Table108.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
1.275,1.27,1.28,0.2532,0.1808,-0.1808
1.2850000000000001,1.28,1.29,0.2536,0.1854,-0.1854
1.295,1.29,1.3,0.2539,0.1907,-0.1907
1.3050000000000002,1.3,1.31,0.2541,0.1967,-0.1967
1.315,1.31,1.32,0.2543,0.2036,-0.2036
1.3250000000000002,1.32,1.33,0.2545,0.2112,-0.2112
1.335,1.33,1.34,0.255,0.2198,-0.2198
1.3450000000000002,1.34,1.35,0.2557,0.2293,-0.2293
1.355,1.35,1.36,0.2567,0.2399,-0.2399
1.3650000000000002,1.36,1.37,0.2583,0.2515,-0.2515
1.375,1.37,1.38,0.2606,0.2642,-0.2642
1.3849999999999998,1.38,1.39,0.2637,0.278,-0.278
1.395,1.39,1.4,0.2678,0.293,-0.293

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0185,0.0153,-0.0153
0.415,0.41,0.42,0.02,0.0162,-0.0162
0.425,0.42,0.43,0.0215,0.0169,-0.0169
0.435,0.43,0.44,0.0231,0.0177,-0.0177
0.445,0.44,0.45,0.0248,0.0185,-0.0185
0.455,0.45,0.46,0.0266,0.0192,-0.0192
0.46499999999999997,0.46,0.47,0.0285,0.02,-0.02
0.475,0.47,0.48,0.0306,0.0207,-0.0207
0.485,0.48,0.49,0.0329,0.0215,-0.0215
0.495,0.49,0.5,0.0354,0.0222,-0.0222
0.505,0.5,0.51,0.0382,0.023,-0.023
0.515,0.51,0.52,0.0413,0.0239,-0.0239
0.525,0.52,0.53,0.0447,0.0248,-0.0248
0.535,0.53,0.54,0.0486,0.0258,-0.0258
0.545,0.54,0.55,0.053,0.027,-0.027
0.555,0.55,0.56,0.0581,0.0285,-0.0285
0.565,0.56,0.57,0.0638,0.0303,-0.0303
0.575,0.57,0.58,0.0704,0.0325,-0.0325
0.585,0.58,0.59,0.078,0.0354,-0.0354
0.595,0.59,0.6,0.0868,0.039,-0.039
0.605,0.6,0.61,0.0972,0.0437,-0.0437
0.615,0.61,0.62,0.1092,0.0497,-0.0497
0.625,0.62,0.63,0.1235,0.0571,-0.0571
0.635,0.63,0.64,0.1402,0.0665,-0.0665
0.645,0.64,0.65,0.1601,0.0782,-0.0782
0.655,0.65,0.66,0.1837,0.0926,-0.0926
0.665,0.66,0.67,0.2116,0.1102,-0.1102
0.675,0.67,0.68,0.2446,0.1317,-0.1317
0.685,0.68,0.69,0.2833,0.1574,-0.1574
0.695,0.69,0.7,0.3281,0.1879,-0.1879
0.705,0.7,0.71,0.3788,0.223,-0.223
0.715,0.71,0.72,0.4341,0.262,-0.262
0.725,0.72,0.73,0.4911,0.303,-0.303
0.735,0.73,0.74,0.5453,0.3428,-0.3428
0.745,0.74,0.75,0.5903,0.377,-0.377
0.755,0.75,0.76,0.6199,0.401,-0.401
0.765,0.76,0.77,0.6298,0.4115,-0.4115
0.775,0.77,0.78,0.6195,0.4076,-0.4076
0.785,0.78,0.79,0.5922,0.3913,-0.3913
0.795,0.79,0.8,0.5532,0.3662,-0.3662
0.805,0.8,0.81,0.5084,0.3364,-0.3364
0.815,0.81,0.82,0.4624,0.3052,-0.3052
0.825,0.82,0.83,0.4183,0.2749,-0.2749
0.835,0.83,0.84,0.3779,0.2469,-0.2469
0.845,0.84,0.85,0.3418,0.2219,-0.2219
0.855,0.85,0.86,0.3101,0.1999,-0.1999
0.865,0.86,0.87,0.2826,0.1809,-0.1809
0.875,0.87,0.88,0.2589,0.1646,-0.1646
0.885,0.88,0.89,0.2386,0.1509,-0.1509
0.895,0.89,0.9,0.2211,0.1393,-0.1393
0.905,0.9,0.91,0.2061,0.1296,-0.1296
0.915,0.91,0.92,0.1932,0.1216,-0.1216
0.925,0.92,0.93,0.1822,0.115,-0.115
0.935,0.93,0.94,0.1727,0.1097,-0.1097
0.945,0.94,0.95,0.1646,0.1056,-0.1056
0.955,0.95,0.96,0.1576,0.1023,-0.1023
0.965,0.96,0.97,0.1517,0.0999,-0.0999
0.975,0.97,0.98,0.1466,0.0981,-0.0981
0.985,0.98,0.99,0.1423,0.097,-0.097
0.995,0.99,1.0,0.1387,0.0963,-0.0963
1.005,1.0,1.01,0.1357,0.0961,-0.0961
1.0150000000000001,1.01,1.02,0.1332,0.0962,-0.0962
1.025,1.02,1.03,0.1312,0.0966,-0.0966
1.0350000000000001,1.03,1.04,0.1296,0.0973,-0.0973
1.045,1.04,1.05,0.1283,0.0981,-0.0981
1.0550000000000002,1.05,1.06,0.1275,0.0991,-0.0991
1.065,1.06,1.07,0.1269,0.1002,-0.1002
1.0750000000000002,1.07,1.08,0.1266,0.1013,-0.1013
1.085,1.08,1.09,0.1265,0.1025,-0.1025
1.0950000000000002,1.09,1.1,0.1267,0.1038,-0.1038
1.105,1.1,1.11,0.1271,0.105,-0.105
1.1150000000000002,1.11,1.12,0.1277,0.1062,-0.1062
1.125,1.12,1.13,0.1285,0.1073,-0.1073
1.1349999999999998,1.13,1.14,0.1295,0.1084,-0.1084
1.145,1.14,1.15,0.1307,0.1094,-0.1094
1.1549999999999998,1.15,1.16,0.132,0.1103,-0.1103
1.165,1.16,1.17,0.1336,0.111,-0.111
1.1749999999999998,1.17,1.18,0.1353,0.1117,-0.1117
1.185,1.18,1.19,0.1371,0.1123,-0.1123
1.1949999999999998,1.19,1.2,0.1392,0.1127,-0.1127
1.205,1.2,1.21,0.1414,0.113,-0.113
1.2149999999999999,1.21,1.22,0.1438,0.1132,-0.1132
1.225,1.22,1.23,0.1464,0.1133,-0.1133
1.2349999999999999,1.23,1.24,0.1493,0.1133,-0.1133
1.245,1.24,1.25,0.1523,0.1133,-0.1133
1.255,1.25,1.26,0.1556,0.1133,-0.1133
1.2650000000000001,1.26,1.27,0.1592,0.1133,-0.1133
1.275,1.27,1.28,0.1631,0.1135,-0.1135
1.2850000000000001,1.28,1.29,0.1673,0.1139,-0.1139
1.295,1.29,1.3,0.1719,0.1146,-0.1146
1.3050000000000002,1.3,1.31,0.1768,0.1158,-0.1158
1.315,1.31,1.32,0.1821,0.1176,-0.1176
1.3250000000000002,1.32,1.33,0.1879,0.12,-0.12
1.335,1.33,1.34,0.1942,0.1234,-0.1234
1.3450000000000002,1.34,1.35,0.2011,0.1277,-0.1277
1.355,1.35,1.36,0.2086,0.1332,-0.1332
1.3650000000000002,1.36,1.37,0.2167,0.1399,-0.1399
1.375,1.37,1.38,0.2255,0.148,-0.148
1.3849999999999998,1.38,1.39,0.2351,0.1576,-0.1576
1.395,1.39,1.4,0.2455,0.1686,-0.1686

