#: table_doi: 10.17182/hepdata.74824.v1/t157
#: name: Table 157
#: description: F0 wave cross section for -T.

#: data_file: Table157.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
1.085,1.08,1.09,0.4398,0.116,-0.116
1.0950000000000002,1.09,1.1,0.4312,0.1137,-0.1137
1.105,1.1,1.11,0.4227,0.1119,-0.1119
1.1150000000000002,1.11,1.12,0.4146,0.1107,-0.1107
1.125,1.12,1.13,0.4069,0.11,-0.11
1.1349999999999998,1.13,1.14,0.3995,0.1098,-0.1098
1.145,1.14,1.15,0.3926,0.11,-0.11
1.1549999999999998,1.15,1.16,0.3861,0.1105,-0.1105
1.165,1.16,1.17,0.3803,0.1113,-0.1113
1.1749999999999998,1.17,1.18,0.375,0.1124,-0.1124
1.185,1.18,1.19,0.3705,0.1136,-0.1136
1.1949999999999998,1.19,1.2,0.3666,0.1151,-0.1151
1.205,1.2,1.21,0.3636,0.1167,-0.1167
1.2149999999999999,1.21,1.22,0.3614,0.1184,-0.1184
1.225,1.22,1.23,0.3601,0.1204,-0.1204
1.2349999999999999,1.23,1.24,0.3597,0.1226,-0.1226
1.245,1.24,1.25,0.3605,0.1251,-0.1251
1.255,1.25,1.26,0.3623,0.128,-0.128
1.2650000000000001,1.26,1.27,0.3653,0.1315,-0.1315
1.275,1.27,1.28,0.3695,0.1356,-0.1356
1.2850000000000001,1.28,1.29,0.3751,0.1406,-0.1406
1.295,1.29,1.3,0.382,0.1467,-0.1467
1.3050000000000002,1.3,1.31,0.3904,0.154,-0.154
1.315,1.31,1.32,0.4003,0.1627,-0.1627
1.3250000000000002,1.32,1.33,0.4118,0.173,-0.173
1.335,1.33,1.34,0.425,0.1851,-0.1851
1.3450000000000002,1.34,1.35,0.44,0.1991,-0.1991
1.355,1.35,1.36,0.4568,0.2151,-0.2151
1.3650000000000002,1.36,1.37,0.4755,0.2332,-0.2332
1.375,1.37,1.38,0.4962,0.2535,-0.2535
1.3849999999999998,1.38,1.39,0.519,0.2761,-0.2761
1.395,1.39,1.4,0.544,0.301,-0.301

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
