#: table_doi: 10.17182/hepdata.74824.v1/t98
#: name: Table 98
#: description: P wave cross section for -T.

#: data_file: Table98.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.975,0.97,0.98,1.9884,0.4019,-0.4019
0.985,0.98,0.99,1.8684,0.4041,-0.4041
0.995,0.99,1.0,1.7624,0.4092,-0.4092
1.005,1.0,1.01,1.6687,0.4168,-0.4168
1.0150000000000001,1.01,1.02,1.5856,0.4264,-0.4264
1.025,1.02,1.03,1.5117,0.4375,-0.4375
1.0350000000000001,1.03,1.04,1.4456,0.4498,-0.4498
1.045,1.04,1.05,1.3864,0.4628,-0.4628
1.0550000000000002,1.05,1.06,1.3331,0.4763,-0.4763
1.065,1.06,1.07,1.2847,0.4898,-0.4898
1.0750000000000002,1.07,1.08,1.2406,0.5032,-0.5032
1.085,1.08,1.09,1.2,0.5161,-0.5161
1.0950000000000002,1.09,1.1,1.1624,0.5283,-0.5283
1.105,1.1,1.11,1.1271,0.5396,-0.5396
1.1150000000000002,1.11,1.12,1.0937,0.5499,-0.5499
1.125,1.12,1.13,1.0617,0.5589,-0.5589
1.1349999999999998,1.13,1.14,1.0308,0.5665,-0.5665
1.145,1.14,1.15,1.0005,0.5725,-0.5725
1.1549999999999998,1.15,1.16,0.9707,0.5769,-0.5769
1.165,1.16,1.17,0.941,0.5795,-0.5795
1.1749999999999998,1.17,1.18,0.9112,0.5802,-0.5802
1.185,1.18,1.19,0.8811,0.5791,-0.5791
1.1949999999999998,1.19,1.2,0.8507,0.576,-0.576
1.205,1.2,1.21,0.8199,0.5709,-0.5709
1.2149999999999999,1.21,1.22,0.7886,0.5639,-0.5639
1.225,1.22,1.23,0.7569,0.555,-0.555
1.2349999999999999,1.23,1.24,0.7249,0.5444,-0.5444
1.245,1.24,1.25,0.6926,0.532,-0.532
1.255,1.25,1.26,0.6604,0.5182,-0.5182
1.2650000000000001,1.26,1.27,0.6284,0.5031,-0.5031
1.275,1.27,1.28,0.5971,0.4869,-0.4869
1.2850000000000001,1.28,1.29,0.5668,0.4701,-0.4701
1.295,1.29,1.3,0.538,0.4531,-0.4531
1.3050000000000002,1.3,1.31,0.5114,0.4362,-0.4362
1.315,1.31,1.32,0.4875,0.4202,-0.4202
1.3250000000000002,1.32,1.33,0.4672,0.4056,-0.4056
1.335,1.33,1.34,0.4512,0.3933,-0.3933
1.3450000000000002,1.34,1.35,0.4406,0.3843,-0.3843
1.355,1.35,1.36,0.4364,0.3794,-0.3794
1.3650000000000002,1.36,1.37,0.4399,0.3799,-0.3799
1.375,1.37,1.38,0.4522,0.3867,-0.3867
1.3849999999999998,1.38,1.39,0.475,0.4008,-0.4008
1.395,1.39,1.4,0.5098,0.4233,-0.4233

