#: table_doi: 10.17182/hepdata.74824.v1/t147
#: name: Table 147
#: description: F wave cross section for -T.

#: data_file: Table147.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
1.2149999999999999,1.21,1.22,0.5832,0.2705,-0.2705
1.225,1.22,1.23,0.592,0.2809,-0.2809
1.2349999999999999,1.23,1.24,0.6019,0.2921,-0.2921
1.245,1.24,1.25,0.6127,0.3041,-0.3041
1.255,1.25,1.26,0.6247,0.3169,-0.3169
1.2650000000000001,1.26,1.27,0.6379,0.3305,-0.3305
1.275,1.27,1.28,0.6522,0.345,-0.345
1.2850000000000001,1.28,1.29,0.6679,0.3605,-0.3605
1.295,1.29,1.3,0.6849,0.3768,-0.3768
1.3050000000000002,1.3,1.31,0.7033,0.3941,-0.3941
1.315,1.31,1.32,0.7232,0.4125,-0.4125
1.3250000000000002,1.32,1.33,0.7445,0.4318,-0.4318
1.335,1.33,1.34,0.7675,0.4522,-0.4522
1.3450000000000002,1.34,1.35,0.7922,0.4737,-0.4737
1.355,1.35,1.36,0.8185,0.4963,-0.4963
1.3650000000000002,1.36,1.37,0.8467,0.5201,-0.5201
1.375,1.37,1.38,0.8767,0.545,-0.545
1.3849999999999998,1.38,1.39,0.9087,0.5712,-0.5712
1.395,1.39,1.4,0.9427,0.5986,-0.5986

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0535,0.0214,-0.0214
0.415,0.41,0.42,0.0618,0.0248,-0.0248
0.425,0.42,0.43,0.0704,0.0284,-0.0284
0.435,0.43,0.44,0.0794,0.032,-0.032
0.445,0.44,0.45,0.0885,0.0358,-0.0358
0.455,0.45,0.46,0.0978,0.0397,-0.0397
0.46499999999999997,0.46,0.47,0.1072,0.0437,-0.0437
0.475,0.47,0.48,0.1167,0.0477,-0.0477
0.485,0.48,0.49,0.1263,0.0518,-0.0518
0.495,0.49,0.5,0.1358,0.0559,-0.0559
0.505,0.5,0.51,0.1454,0.0601,-0.0601
0.515,0.51,0.52,0.1549,0.0643,-0.0643
0.525,0.52,0.53,0.1643,0.0684,-0.0684
0.535,0.53,0.54,0.1737,0.0726,-0.0726
0.545,0.54,0.55,0.1829,0.0767,-0.0767
0.555,0.55,0.56,0.192,0.0809,-0.0809
0.565,0.56,0.57,0.201,0.085,-0.085
0.575,0.57,0.58,0.2098,0.0891,-0.0891
0.585,0.58,0.59,0.2184,0.0931,-0.0931
0.595,0.59,0.6,0.2269,0.0972,-0.0972
0.605,0.6,0.61,0.2352,0.1011,-0.1011
0.615,0.61,0.62,0.2434,0.1051,-0.1051
0.625,0.62,0.63,0.2513,0.109,-0.109
0.635,0.63,0.64,0.259,0.1128,-0.1128
0.645,0.64,0.65,0.2666,0.1166,-0.1166
0.655,0.65,0.66,0.2739,0.1203,-0.1203
0.665,0.66,0.67,0.2811,0.124,-0.124
0.675,0.67,0.68,0.288,0.1276,-0.1276
0.685,0.68,0.69,0.2948,0.1312,-0.1312
0.695,0.69,0.7,0.3014,0.1347,-0.1347
0.705,0.7,0.71,0.3078,0.1382,-0.1382
0.715,0.71,0.72,0.314,0.1416,-0.1416
0.725,0.72,0.73,0.32,0.1449,-0.1449
0.735,0.73,0.74,0.3259,0.1482,-0.1482
0.745,0.74,0.75,0.3316,0.1514,-0.1514
0.755,0.75,0.76,0.3371,0.1545,-0.1545
0.765,0.76,0.77,0.3425,0.1576,-0.1576
0.775,0.77,0.78,0.3477,0.1606,-0.1606
0.785,0.78,0.79,0.3528,0.1635,-0.1635
0.795,0.79,0.8,0.3578,0.1664,-0.1664
0.805,0.8,0.81,0.3626,0.1692,-0.1692
0.815,0.81,0.82,0.3674,0.1719,-0.1719
0.825,0.82,0.83,0.372,0.1746,-0.1746
0.835,0.83,0.84,0.3766,0.1772,-0.1772
0.845,0.84,0.85,0.3811,0.1798,-0.1798
0.855,0.85,0.86,0.3855,0.1822,-0.1822
0.865,0.86,0.87,0.3899,0.1846,-0.1846
0.875,0.87,0.88,0.3943,0.1869,-0.1869
0.885,0.88,0.89,0.3986,0.1892,-0.1892
0.895,0.89,0.9,0.403,0.1914,-0.1914
0.905,0.9,0.91,0.4073,0.1935,-0.1935
0.915,0.91,0.92,0.4117,0.1955,-0.1955
0.925,0.92,0.93,0.4161,0.1975,-0.1975
0.935,0.93,0.94,0.4206,0.1993,-0.1993
0.945,0.94,0.95,0.4251,0.2011,-0.2011
0.955,0.95,0.96,0.4298,0.2029,-0.2029
0.965,0.96,0.97,0.4345,0.2045,-0.2045
0.975,0.97,0.98,0.4394,0.2061,-0.2061
0.985,0.98,0.99,0.4445,0.2076,-0.2076
0.995,0.99,1.0,0.4497,0.209,-0.209
1.005,1.0,1.01,0.4551,0.2103,-0.2103
1.0150000000000001,1.01,1.02,0.4607,0.2115,-0.2115
1.025,1.02,1.03,0.4665,0.2127,-0.2127
1.0350000000000001,1.03,1.04,0.4727,0.2138,-0.2138
1.045,1.04,1.05,0.479,0.2148,-0.2148
1.0550000000000002,1.05,1.06,0.4857,0.2157,-0.2157
1.065,1.06,1.07,0.4927,0.2165,-0.2165
1.0750000000000002,1.07,1.08,0.5001,0.2172,-0.2172
1.085,1.08,1.09,0.5079,0.2179,-0.2179
1.0950000000000002,1.09,1.1,0.516,0.2185,-0.2185
1.105,1.1,1.11,0.5246,0.219,-0.219
1.1150000000000002,1.11,1.12,0.5336,0.2194,-0.2194
1.125,1.12,1.13,0.5431,0.2198,-0.2198
1.1349999999999998,1.13,1.14,0.5531,0.2201,-0.2201
1.145,1.14,1.15,0.5637,0.2203,-0.2203
1.1549999999999998,1.15,1.16,0.5748,0.2205,-0.2205
1.165,1.16,1.17,0.5865,0.2207,-0.2207
1.1749999999999998,1.17,1.18,0.5989,0.2208,-0.2208
1.185,1.18,1.19,0.6119,0.2208,-0.2208
1.1949999999999998,1.19,1.2,0.6256,0.2209,-0.2209
1.205,1.2,1.21,0.64,0.2209,-0.2209
1.2149999999999999,1.21,1.22,0.6552,0.221,-0.221
1.225,1.22,1.23,0.6712,0.2211,-0.2211
1.2349999999999999,1.23,1.24,0.688,0.2212,-0.2212
1.245,1.24,1.25,0.7056,0.2214,-0.2214
1.255,1.25,1.26,0.7242,0.2217,-0.2217
1.2650000000000001,1.26,1.27,0.7437,0.2221,-0.2221
1.275,1.27,1.28,0.7641,0.2227,-0.2227
1.2850000000000001,1.28,1.29,0.7856,0.2234,-0.2234
1.295,1.29,1.3,0.8081,0.2244,-0.2244
1.3050000000000002,1.3,1.31,0.8317,0.2256,-0.2256
1.315,1.31,1.32,0.8564,0.2271,-0.2271
1.3250000000000002,1.32,1.33,0.8823,0.2289,-0.2289
1.335,1.33,1.34,0.9093,0.2311,-0.2311
1.3450000000000002,1.34,1.35,0.9377,0.2337,-0.2337
1.355,1.35,1.36,0.9673,0.2368,-0.2368
1.3650000000000002,1.36,1.37,0.9983,0.2404,-0.2404
1.375,1.37,1.38,1.0306,0.2446,-0.2446
1.3849999999999998,1.38,1.39,1.0643,0.2493,-0.2493
1.395,1.39,1.4,1.0996,0.2548,-0.2548

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0792,0.0436,-0.0436
0.415,0.41,0.42,0.0914,0.0503,-0.0503
0.425,0.42,0.43,0.1041,0.0571,-0.0571
0.435,0.43,0.44,0.117,0.0641,-0.0641
0.445,0.44,0.45,0.1302,0.0713,-0.0713
0.455,0.45,0.46,0.1437,0.0785,-0.0785
0.46499999999999997,0.46,0.47,0.1572,0.0857,-0.0857
0.475,0.47,0.48,0.1707,0.0929,-0.0929
0.485,0.48,0.49,0.1843,0.1001,-0.1001
0.495,0.49,0.5,0.1978,0.1072,-0.1072
0.505,0.5,0.51,0.2112,0.1143,-0.1143
0.515,0.51,0.52,0.2244,0.1212,-0.1212
0.525,0.52,0.53,0.2374,0.1279,-0.1279
0.535,0.53,0.54,0.2502,0.1345,-0.1345
0.545,0.54,0.55,0.2627,0.1409,-0.1409
0.555,0.55,0.56,0.275,0.1472,-0.1472
0.565,0.56,0.57,0.2869,0.1532,-0.1532
0.575,0.57,0.58,0.2985,0.159,-0.159
0.585,0.58,0.59,0.3097,0.1645,-0.1645
0.595,0.59,0.6,0.3206,0.1698,-0.1698
0.605,0.6,0.61,0.3311,0.1749,-0.1749
0.615,0.61,0.62,0.3411,0.1797,-0.1797
0.625,0.62,0.63,0.3508,0.1842,-0.1842
0.635,0.63,0.64,0.36,0.1885,-0.1885
0.645,0.64,0.65,0.3689,0.1925,-0.1925
0.655,0.65,0.66,0.3773,0.1963,-0.1963
0.665,0.66,0.67,0.3852,0.1998,-0.1998
0.675,0.67,0.68,0.3928,0.203,-0.203
0.685,0.68,0.69,0.3999,0.2059,-0.2059
0.695,0.69,0.7,0.4065,0.2086,-0.2086
0.705,0.7,0.71,0.4127,0.211,-0.211
0.715,0.71,0.72,0.4185,0.2131,-0.2131
0.725,0.72,0.73,0.4239,0.215,-0.215
0.735,0.73,0.74,0.4288,0.2166,-0.2166
0.745,0.74,0.75,0.4333,0.218,-0.218
0.755,0.75,0.76,0.4374,0.2191,-0.2191
0.765,0.76,0.77,0.4411,0.22,-0.22
0.775,0.77,0.78,0.4444,0.2206,-0.2206
0.785,0.78,0.79,0.4473,0.221,-0.221
0.795,0.79,0.8,0.4498,0.2212,-0.2212
0.805,0.8,0.81,0.452,0.2212,-0.2212
0.815,0.81,0.82,0.4538,0.221,-0.221
0.825,0.82,0.83,0.4552,0.2205,-0.2205
0.835,0.83,0.84,0.4563,0.2199,-0.2199
0.845,0.84,0.85,0.4571,0.2191,-0.2191
0.855,0.85,0.86,0.4575,0.2182,-0.2182
0.865,0.86,0.87,0.4577,0.217,-0.217
0.875,0.87,0.88,0.4576,0.2158,-0.2158
0.885,0.88,0.89,0.4572,0.2143,-0.2143
0.895,0.89,0.9,0.4566,0.2128,-0.2128
0.905,0.9,0.91,0.4558,0.2112,-0.2112
0.915,0.91,0.92,0.4547,0.2094,-0.2094
0.925,0.92,0.93,0.4535,0.2076,-0.2076
0.935,0.93,0.94,0.452,0.2057,-0.2057
0.945,0.94,0.95,0.4505,0.2037,-0.2037
0.955,0.95,0.96,0.4488,0.2016,-0.2016
0.965,0.96,0.97,0.4469,0.1995,-0.1995
0.975,0.97,0.98,0.445,0.1974,-0.1974
0.985,0.98,0.99,0.4431,0.1953,-0.1953
0.995,0.99,1.0,0.4411,0.1932,-0.1932
1.005,1.0,1.01,0.439,0.1911,-0.1911
1.0150000000000001,1.01,1.02,0.437,0.1889,-0.1889
1.025,1.02,1.03,0.435,0.1868,-0.1868
1.0350000000000001,1.03,1.04,0.4331,0.1848,-0.1848
1.045,1.04,1.05,0.4313,0.1828,-0.1828
1.0550000000000002,1.05,1.06,0.4296,0.1808,-0.1808
1.065,1.06,1.07,0.428,0.1789,-0.1789
1.0750000000000002,1.07,1.08,0.4266,0.1771,-0.1771
1.085,1.08,1.09,0.4254,0.1753,-0.1753
1.0950000000000002,1.09,1.1,0.4245,0.1736,-0.1736
1.105,1.1,1.11,0.4238,0.1719,-0.1719
1.1150000000000002,1.11,1.12,0.4234,0.1703,-0.1703
1.125,1.12,1.13,0.4234,0.1688,-0.1688
1.1349999999999998,1.13,1.14,0.4237,0.1674,-0.1674
1.145,1.14,1.15,0.4244,0.166,-0.166
1.1549999999999998,1.15,1.16,0.4256,0.1647,-0.1647
1.165,1.16,1.17,0.4272,0.1635,-0.1635
1.1749999999999998,1.17,1.18,0.4294,0.1623,-0.1623
1.185,1.18,1.19,0.4321,0.1612,-0.1612
1.1949999999999998,1.19,1.2,0.4354,0.1601,-0.1601
1.205,1.2,1.21,0.4394,0.1591,-0.1591
1.2149999999999999,1.21,1.22,0.444,0.1582,-0.1582
1.225,1.22,1.23,0.4494,0.1573,-0.1573
1.2349999999999999,1.23,1.24,0.4555,0.1566,-0.1566
1.245,1.24,1.25,0.4624,0.1559,-0.1559
1.255,1.25,1.26,0.4701,0.1553,-0.1553
1.2650000000000001,1.26,1.27,0.4788,0.1549,-0.1549
1.275,1.27,1.28,0.4883,0.1547,-0.1547
1.2850000000000001,1.28,1.29,0.4989,0.1546,-0.1546
1.295,1.29,1.3,0.5105,0.1549,-0.1549
1.3050000000000002,1.3,1.31,0.5232,0.1555,-0.1555
1.315,1.31,1.32,0.537,0.1565,-0.1565
1.3250000000000002,1.32,1.33,0.552,0.158,-0.158
1.335,1.33,1.34,0.5683,0.16,-0.16
1.3450000000000002,1.34,1.35,0.5858,0.1627,-0.1627
1.355,1.35,1.36,0.6047,0.1662,-0.1662
1.3650000000000002,1.36,1.37,0.6249,0.1705,-0.1705
1.375,1.37,1.38,0.6467,0.1758,-0.1758
1.3849999999999998,1.38,1.39,0.6699,0.1821,-0.1821
1.395,1.39,1.4,0.6947,0.1896,-0.1896

