#: table_doi: 10.17182/hepdata.74824.v1/t128
#: name: Table 128
#: description: Dm wave cross section for -T.

#: data_file: Table128.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.825,0.82,0.83,0.1591,0.0753,-0.0753
0.835,0.83,0.84,0.1625,0.0771,-0.0771
0.845,0.84,0.85,0.1656,0.0788,-0.0788
0.855,0.85,0.86,0.1684,0.0803,-0.0803
0.865,0.86,0.87,0.1709,0.0817,-0.0817
0.875,0.87,0.88,0.1731,0.083,-0.083
0.885,0.88,0.89,0.1749,0.0842,-0.0842
0.895,0.89,0.9,0.1764,0.0852,-0.0852
0.905,0.9,0.91,0.1775,0.0861,-0.0861
0.915,0.91,0.92,0.1782,0.0868,-0.0868
0.925,0.92,0.93,0.1785,0.0875,-0.0875
0.935,0.93,0.94,0.1783,0.0879,-0.0879
0.945,0.94,0.95,0.1777,0.0883,-0.0883
0.955,0.95,0.96,0.1766,0.0884,-0.0884
0.965,0.96,0.97,0.1751,0.0885,-0.0885
0.975,0.97,0.98,0.1731,0.0884,-0.0884
0.985,0.98,0.99,0.1707,0.0881,-0.0881
0.995,0.99,1.0,0.1677,0.0877,-0.0877
1.005,1.0,1.01,0.1643,0.0872,-0.0872
1.0150000000000001,1.01,1.02,0.1605,0.0865,-0.0865
1.025,1.02,1.03,0.1562,0.0856,-0.0856
1.0350000000000001,1.03,1.04,0.1515,0.0846,-0.0846
1.045,1.04,1.05,0.1464,0.0835,-0.0835
1.0550000000000002,1.05,1.06,0.141,0.0822,-0.0822
1.065,1.06,1.07,0.1354,0.0808,-0.0808
1.0750000000000002,1.07,1.08,0.1296,0.0793,-0.0793
1.085,1.08,1.09,0.1237,0.0777,-0.0777
1.0950000000000002,1.09,1.1,0.1178,0.076,-0.076
1.105,1.1,1.11,0.1121,0.0743,-0.0743
1.1150000000000002,1.11,1.12,0.1067,0.0727,-0.0727
1.125,1.12,1.13,0.1019,0.0712,-0.0712
1.1349999999999998,1.13,1.14,0.0978,0.07,-0.07
1.145,1.14,1.15,0.0948,0.0692,-0.0692
1.1549999999999998,1.15,1.16,0.0931,0.0691,-0.0691
1.165,1.16,1.17,0.0931,0.0699,-0.0699
1.1749999999999998,1.17,1.18,0.0951,0.0717,-0.0717
1.185,1.18,1.19,0.0994,0.0748,-0.0748
1.1949999999999998,1.19,1.2,0.1064,0.0791,-0.0791
1.205,1.2,1.21,0.1161,0.0846,-0.0846
1.2149999999999999,1.21,1.22,0.1284,0.091,-0.091
1.225,1.22,1.23,0.143,0.098,-0.098
1.2349999999999999,1.23,1.24,0.1588,0.105,-0.105
1.245,1.24,1.25,0.1745,0.1118,-0.1118
1.255,1.25,1.26,0.1882,0.1181,-0.1181
1.2650000000000001,1.26,1.27,0.198,0.1239,-0.1239
1.275,1.27,1.28,0.2022,0.1293,-0.1293
1.2850000000000001,1.28,1.29,0.2003,0.1343,-0.1343
1.295,1.29,1.3,0.1925,0.1391,-0.1391
