#: table_doi: 10.17182/hepdata.74824.v1/t96
#: name: Table 96
#: description: S wave cross section for -T.

#: data_file: Table96.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.755,0.75,0.76,0.1839,0.1257,-0.1257
0.765,0.76,0.77,0.1927,0.1285,-0.1285
0.775,0.77,0.78,0.2021,0.1312,-0.1312
0.785,0.78,0.79,0.212,0.1339,-0.1339
0.795,0.79,0.8,0.2222,0.1365,-0.1365
0.805,0.8,0.81,0.2327,0.1391,-0.1391
0.815,0.81,0.82,0.2435,0.1418,-0.1418
0.825,0.82,0.83,0.2544,0.1444,-0.1444
0.835,0.83,0.84,0.2653,0.1471,-0.1471
0.845,0.84,0.85,0.2761,0.1499,-0.1499
0.855,0.85,0.86,0.2868,0.1528,-0.1528
0.865,0.86,0.87,0.2971,0.1561,-0.1561
0.875,0.87,0.88,0.307,0.1598,-0.1598
0.885,0.88,0.89,0.3163,0.164,-0.164
0.895,0.89,0.9,0.3248,0.1691,-0.1691
0.905,0.9,0.91,0.3322,0.1751,-0.1751
0.915,0.91,0.92,0.3384,0.1827,-0.1827
0.925,0.92,0.93,0.3429,0.1922,-0.1922
0.935,0.93,0.94,0.345,0.2047,-0.2047
0.945,0.94,0.95,0.3438,0.2216,-0.2216
0.955,0.95,0.96,0.3371,0.245,-0.245
0.965,0.96,0.97,0.3203,0.2785,-0.2785
0.975,0.97,0.98,0.2814,0.3257,-0.3257
0.985,0.98,0.99,0.1934,0.3745,-0.3745
0.995,0.99,1.0,0.2037,0.3089,-0.3089
1.005,1.0,1.01,0.1634,0.2156,-0.2156
1.0150000000000001,1.01,1.02,0.1365,0.1763,-0.1763
1.025,1.02,1.03,0.1175,0.1528,-0.1528
1.0350000000000001,1.03,1.04,0.1057,0.1385,-0.1385
1.045,1.04,1.05,0.1001,0.1306,-0.1306
1.0550000000000002,1.05,1.06,0.0998,0.1278,-0.1278
1.065,1.06,1.07,0.1038,0.129,-0.129
1.0750000000000002,1.07,1.08,0.1114,0.1331,-0.1331
1.085,1.08,1.09,0.122,0.1392,-0.1392
1.0950000000000002,1.09,1.1,0.1349,0.1466,-0.1466
1.105,1.1,1.11,0.1496,0.1547,-0.1547
1.1150000000000002,1.11,1.12,0.1654,0.1632,-0.1632
1.125,1.12,1.13,0.182,0.172,-0.172
1.1349999999999998,1.13,1.14,0.1989,0.1808,-0.1808
1.145,1.14,1.15,0.2156,0.1894,-0.1894
1.1549999999999998,1.15,1.16,0.2318,0.1978,-0.1978
1.165,1.16,1.17,0.2472,0.2059,-0.2059
1.1749999999999998,1.17,1.18,0.2613,0.2135,-0.2135
1.185,1.18,1.19,0.2739,0.2206,-0.2206
1.1949999999999998,1.19,1.2,0.2847,0.227,-0.227
1.205,1.2,1.21,0.2935,0.2328,-0.2328
1.2149999999999999,1.21,1.22,0.3002,0.2378,-0.2378
1.225,1.22,1.23,0.3045,0.242,-0.242
1.2349999999999999,1.23,1.24,0.3063,0.2454,-0.2454
1.245,1.24,1.25,0.3055,0.2478,-0.2478
1.255,1.25,1.26,0.3022,0.2493,-0.2493
1.2650000000000001,1.26,1.27,0.2962,0.2498,-0.2498
1.275,1.27,1.28,0.2876,0.2492,-0.2492
1.2850000000000001,1.28,1.29,0.2767,0.2476,-0.2476
1.295,1.29,1.3,0.2634,0.2449,-0.2449
1.3050000000000002,1.3,1.31,0.2481,0.2411,-0.2411
1.315,1.31,1.32,0.2309,0.2362,-0.2362
1.3250000000000002,1.32,1.33,0.2124,0.2301,-0.2301
1.335,1.33,1.34,0.1928,0.223,-0.223
1.3450000000000002,1.34,1.35,0.1728,0.2149,-0.2149
1.355,1.35,1.36,0.1529,0.206,-0.206
1.3650000000000002,1.36,1.37,0.1337,0.1965,-0.1965
1.375,1.37,1.38,0.1161,0.187,-0.187
1.3849999999999998,1.38,1.39,0.1009,0.1781,-0.1781
1.395,1.39,1.4,0.0892,0.1714,-0.1714

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0375,0.044,-0.044
0.415,0.41,0.42,0.0357,0.0439,-0.0439
0.425,0.42,0.43,0.0361,0.045,-0.045
0.435,0.43,0.44,0.0387,0.0473,-0.0473
0.445,0.44,0.45,0.0431,0.0504,-0.0504
0.455,0.45,0.46,0.049,0.0541,-0.0541
0.46499999999999997,0.46,0.47,0.056,0.0581,-0.0581
0.475,0.47,0.48,0.0636,0.0621,-0.0621
0.485,0.48,0.49,0.0714,0.0659,-0.0659
0.495,0.49,0.5,0.0791,0.0694,-0.0694
0.505,0.5,0.51,0.0862,0.0725,-0.0725
0.515,0.51,0.52,0.0925,0.0752,-0.0752
0.525,0.52,0.53,0.0977,0.0773,-0.0773
0.535,0.53,0.54,0.1017,0.0789,-0.0789
0.545,0.54,0.55,0.1045,0.08,-0.08
0.555,0.55,0.56,0.1061,0.0805,-0.0805
0.565,0.56,0.57,0.1065,0.0805,-0.0805
0.575,0.57,0.58,0.1058,0.08,-0.08
0.585,0.58,0.59,0.1042,0.079,-0.079
0.595,0.59,0.6,0.1019,0.0776,-0.0776
0.605,0.6,0.61,0.099,0.0758,-0.0758
0.615,0.61,0.62,0.0958,0.0737,-0.0737
0.625,0.62,0.63,0.0924,0.0713,-0.0713
0.635,0.63,0.64,0.0889,0.0688,-0.0688
0.645,0.64,0.65,0.0856,0.0662,-0.0662
0.655,0.65,0.66,0.0825,0.0637,-0.0637
0.665,0.66,0.67,0.0798,0.0614,-0.0614
0.675,0.67,0.68,0.0776,0.0594,-0.0594
0.685,0.68,0.69,0.0758,0.0579,-0.0579
0.695,0.69,0.7,0.0747,0.057,-0.057
0.705,0.7,0.71,0.0741,0.0567,-0.0567
0.715,0.71,0.72,0.0741,0.0571,-0.0571
0.725,0.72,0.73,0.0747,0.0583,-0.0583
0.735,0.73,0.74,0.076,0.06,-0.06
0.745,0.74,0.75,0.0778,0.0623,-0.0623
0.755,0.75,0.76,0.0801,0.0651,-0.0651
0.765,0.76,0.77,0.0829,0.0682,-0.0682
0.775,0.77,0.78,0.0862,0.0715,-0.0715
0.785,0.78,0.79,0.0899,0.0749,-0.0749
0.795,0.79,0.8,0.0938,0.0784,-0.0784
0.805,0.8,0.81,0.0981,0.0819,-0.0819
0.815,0.81,0.82,0.1025,0.0852,-0.0852
0.825,0.82,0.83,0.107,0.0885,-0.0885
0.835,0.83,0.84,0.1116,0.0916,-0.0916
0.845,0.84,0.85,0.1161,0.0945,-0.0945
0.855,0.85,0.86,0.1205,0.0973,-0.0973
0.865,0.86,0.87,0.1248,0.0999,-0.0999
0.875,0.87,0.88,0.1288,0.1026,-0.1026
0.885,0.88,0.89,0.1324,0.1052,-0.1052
0.895,0.89,0.9,0.1357,0.1081,-0.1081
0.905,0.9,0.91,0.1385,0.1113,-0.1113
0.915,0.91,0.92,0.1409,0.1153,-0.1153
0.925,0.92,0.93,0.1429,0.1203,-0.1203
0.935,0.93,0.94,0.1444,0.1271,-0.1271
0.945,0.94,0.95,0.1456,0.1364,-0.1364
0.955,0.95,0.96,0.1469,0.1498,-0.1498
0.965,0.96,0.97,0.1489,0.17,-0.17
0.975,0.97,0.98,0.1541,0.2076,-0.2076
0.985,0.98,0.99,0.1822,0.3252,-0.3252
0.995,0.99,1.0,0.1169,0.2027,-0.2027
1.005,1.0,1.01,0.1056,0.1465,-0.1465
1.0150000000000001,1.01,1.02,0.1148,0.1414,-0.1414
1.025,1.02,1.03,0.1256,0.1441,-0.1441
1.0350000000000001,1.03,1.04,0.1374,0.1486,-0.1486
1.045,1.04,1.05,0.1499,0.1533,-0.1533
1.0550000000000002,1.05,1.06,0.1632,0.1578,-0.1578
1.065,1.06,1.07,0.177,0.1621,-0.1621
1.0750000000000002,1.07,1.08,0.1911,0.1664,-0.1664
1.085,1.08,1.09,0.2053,0.1705,-0.1705
1.0950000000000002,1.09,1.1,0.2194,0.1745,-0.1745
1.105,1.1,1.11,0.2331,0.1785,-0.1785
1.1150000000000002,1.11,1.12,0.2463,0.1822,-0.1822
1.125,1.12,1.13,0.2586,0.1858,-0.1858
1.1349999999999998,1.13,1.14,0.27,0.1892,-0.1892
1.145,1.14,1.15,0.2802,0.1924,-0.1924
1.1549999999999998,1.15,1.16,0.2891,0.1953,-0.1953
1.165,1.16,1.17,0.2966,0.198,-0.198
1.1749999999999998,1.17,1.18,0.3023,0.2004,-0.2004
1.185,1.18,1.19,0.3064,0.2025,-0.2025
1.1949999999999998,1.19,1.2,0.3086,0.2042,-0.2042
1.205,1.2,1.21,0.3088,0.2056,-0.2056
1.2149999999999999,1.21,1.22,0.3071,0.2067,-0.2067
1.225,1.22,1.23,0.3035,0.2072,-0.2072
1.2349999999999999,1.23,1.24,0.2978,0.2074,-0.2074
1.245,1.24,1.25,0.2902,0.207,-0.207
1.255,1.25,1.26,0.2807,0.2061,-0.2061
1.2650000000000001,1.26,1.27,0.2694,0.2046,-0.2046
1.275,1.27,1.28,0.2565,0.2026,-0.2026
1.2850000000000001,1.28,1.29,0.2422,0.1999,-0.1999
1.295,1.29,1.3,0.2266,0.1966,-0.1966
1.3050000000000002,1.3,1.31,0.2102,0.1926,-0.1926
1.315,1.31,1.32,0.1932,0.188,-0.188
1.3250000000000002,1.32,1.33,0.176,0.1829,-0.1829
1.335,1.33,1.34,0.1591,0.1774,-0.1774
1.3450000000000002,1.34,1.35,0.143,0.1717,-0.1717
1.355,1.35,1.36,0.1283,0.1661,-0.1661
1.3650000000000002,1.36,1.37,0.1157,0.1611,-0.1611
1.375,1.37,1.38,0.1058,0.1576,-0.1576
1.3849999999999998,1.38,1.39,0.0996,0.1565,-0.1565
1.395,1.39,1.4,0.098,0.1593,-0.1593

