#: table_doi: 10.17182/hepdata.74824.v1/t182
#: name: Table 182
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table182.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.705,0.7,0.71,0.0053,0.012,-0.012
0.715,0.71,0.72,-0.0022,0.0115,-0.0115
0.725,0.72,0.73,-0.0103,0.011,-0.011
0.735,0.73,0.74,-0.0188,0.0104,-0.0104
0.745,0.74,0.75,-0.0278,0.0098,-0.0098
0.755,0.75,0.76,-0.037,0.0092,-0.0092
0.765,0.76,0.77,-0.0464,0.0086,-0.0086
0.775,0.77,0.78,-0.0558,0.0083,-0.0083
0.785,0.78,0.79,-0.065,0.0082,-0.0082
0.795,0.79,0.8,-0.074,0.0085,-0.0085
0.805,0.8,0.81,-0.0825,0.0091,-0.0091
0.815,0.81,0.82,-0.0904,0.0098,-0.0098
0.825,0.82,0.83,-0.0977,0.0105,-0.0105
0.835,0.83,0.84,-0.1043,0.0112,-0.0112
0.845,0.84,0.85,-0.11,0.0119,-0.0119
0.855,0.85,0.86,-0.1148,0.0125,-0.0125
0.865,0.86,0.87,-0.1188,0.013,-0.013
0.875,0.87,0.88,-0.1218,0.0134,-0.0134
0.885,0.88,0.89,-0.1239,0.0137,-0.0137
0.895,0.89,0.9,-0.1252,0.014,-0.014
0.905,0.9,0.91,-0.1256,0.0141,-0.0141
0.915,0.91,0.92,-0.1254,0.0141,-0.0141
0.925,0.92,0.93,-0.1245,0.0141,-0.0141
0.935,0.93,0.94,-0.123,0.014,-0.014
0.945,0.94,0.95,-0.1212,0.0138,-0.0138
0.955,0.95,0.96,-0.1191,0.0136,-0.0136
0.965,0.96,0.97,-0.1175,0.0135,-0.0135
0.975,0.97,0.98,-0.1178,0.0139,-0.0139
0.985,0.98,0.99,-0.1282,0.0176,-0.0176
0.995,0.99,1.0,-0.1228,0.016,-0.016
1.005,1.0,1.01,-0.1195,0.0149,-0.0149
1.0150000000000001,1.01,1.02,-0.1191,0.0146,-0.0146
1.025,1.02,1.03,-0.119,0.0147,-0.0147
1.0350000000000001,1.03,1.04,-0.119,0.0151,-0.0151
1.045,1.04,1.05,-0.1189,0.0157,-0.0157
1.0550000000000002,1.05,1.06,-0.1185,0.0166,-0.0166
1.065,1.06,1.07,-0.1178,0.0175,-0.0175
1.0750000000000002,1.07,1.08,-0.1168,0.0186,-0.0186
1.085,1.08,1.09,-0.1155,0.0196,-0.0196
1.0950000000000002,1.09,1.1,-0.114,0.0206,-0.0206
1.105,1.1,1.11,-0.1121,0.0214,-0.0214
1.1150000000000002,1.11,1.12,-0.1099,0.0222,-0.0222
1.125,1.12,1.13,-0.1074,0.0227,-0.0227
1.1349999999999998,1.13,1.14,-0.1046,0.0231,-0.0231
1.145,1.14,1.15,-0.1016,0.0233,-0.0233
1.1549999999999998,1.15,1.16,-0.0984,0.0233,-0.0233
1.165,1.16,1.17,-0.095,0.0231,-0.0231
1.1749999999999998,1.17,1.18,-0.0914,0.0227,-0.0227
1.185,1.18,1.19,-0.0878,0.0221,-0.0221
1.1949999999999998,1.19,1.2,-0.0843,0.0214,-0.0214
1.205,1.2,1.21,-0.081,0.0205,-0.0205
1.2149999999999999,1.21,1.22,-0.0781,0.0196,-0.0196
1.225,1.22,1.23,-0.0759,0.0186,-0.0186
1.2349999999999999,1.23,1.24,-0.0745,0.0178,-0.0178
1.245,1.24,1.25,-0.0742,0.0171,-0.0171
1.255,1.25,1.26,-0.0753,0.0168,-0.0168
1.2650000000000001,1.26,1.27,-0.0779,0.0169,-0.0169
1.275,1.27,1.28,-0.082,0.0172,-0.0172
1.2850000000000001,1.28,1.29,-0.0875,0.0177,-0.0177
1.295,1.29,1.3,-0.0941,0.0184,-0.0184
1.3050000000000002,1.3,1.31,-0.1015,0.0192,-0.0192
1.315,1.31,1.32,-0.1092,0.0203,-0.0203
1.3250000000000002,1.32,1.33,-0.1166,0.0215,-0.0215
1.335,1.33,1.34,-0.123,0.0228,-0.0228
1.3450000000000002,1.34,1.35,-0.1279,0.0239,-0.0239
1.355,1.35,1.36,-0.1306,0.0251,-0.0251
1.3650000000000002,1.36,1.37,-0.1307,0.0264,-0.0264
1.375,1.37,1.38,-0.128,0.0285,-0.0285
1.3849999999999998,1.38,1.39,-0.1225,0.0319,-0.0319
1.395,1.39,1.4,-0.1143,0.0369,-0.0369

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0145,0.0255,-0.0255
0.415,0.41,0.42,-0.007,0.027,-0.027
0.425,0.42,0.43,-0.0005,0.0288,-0.0288
0.435,0.43,0.44,0.0051,0.0307,-0.0307
0.445,0.44,0.45,0.0099,0.0326,-0.0326
0.455,0.45,0.46,0.014,0.0344,-0.0344
0.46499999999999997,0.46,0.47,0.0176,0.036,-0.036
0.475,0.47,0.48,0.0208,0.0373,-0.0373
0.485,0.48,0.49,0.0236,0.0384,-0.0384
0.495,0.49,0.5,0.0262,0.0391,-0.0391
0.505,0.5,0.51,0.0286,0.0394,-0.0394
0.515,0.51,0.52,0.0309,0.0394,-0.0394
0.525,0.52,0.53,0.0331,0.0389,-0.0389
0.535,0.53,0.54,0.0352,0.0381,-0.0381
0.545,0.54,0.55,0.0372,0.0369,-0.0369
0.555,0.55,0.56,0.0392,0.0354,-0.0354
0.565,0.56,0.57,0.041,0.0335,-0.0335
0.575,0.57,0.58,0.0426,0.0313,-0.0313
0.585,0.58,0.59,0.044,0.0288,-0.0288
0.595,0.59,0.6,0.0452,0.0262,-0.0262
0.605,0.6,0.61,0.046,0.0235,-0.0235
0.615,0.61,0.62,0.0463,0.0209,-0.0209
0.625,0.62,0.63,0.0462,0.0188,-0.0188
0.635,0.63,0.64,0.0454,0.0173,-0.0173
0.645,0.64,0.65,0.0439,0.0168,-0.0168
0.655,0.65,0.66,0.0417,0.0174,-0.0174
0.665,0.66,0.67,0.0387,0.0188,-0.0188
0.675,0.67,0.68,0.0347,0.0207,-0.0207
0.685,0.68,0.69,0.0298,0.0226,-0.0226
0.695,0.69,0.7,0.0239,0.0244,-0.0244
0.705,0.7,0.71,0.0171,0.0257,-0.0257
0.715,0.71,0.72,0.0093,0.0265,-0.0265
0.725,0.72,0.73,0.0006,0.0265,-0.0265
0.735,0.73,0.74,-0.0089,0.0257,-0.0257
0.745,0.74,0.75,-0.019,0.0243,-0.0243
0.755,0.75,0.76,-0.0298,0.0221,-0.0221
0.765,0.76,0.77,-0.0409,0.0193,-0.0193
0.775,0.77,0.78,-0.0523,0.0161,-0.0161
0.785,0.78,0.79,-0.0637,0.0126,-0.0126
0.795,0.79,0.8,-0.0749,0.0092,-0.0092
0.805,0.8,0.81,-0.0859,0.0064,-0.0064
