#: table_doi: 10.17182/hepdata.74824.v1/t140
#: name: Table 140
#: description: Dp wave cross section for -T.

#: data_file: Table140.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.855,0.85,0.86,0.2134,0.0799,-0.0799
0.865,0.86,0.87,0.212,0.0806,-0.0806
0.875,0.87,0.88,0.2103,0.0813,-0.0813
0.885,0.88,0.89,0.2083,0.0821,-0.0821
0.895,0.89,0.9,0.2062,0.0829,-0.0829
0.905,0.9,0.91,0.2038,0.0839,-0.0839
0.915,0.91,0.92,0.2013,0.0849,-0.0849
0.925,0.92,0.93,0.1987,0.086,-0.086
0.935,0.93,0.94,0.196,0.0872,-0.0872
0.945,0.94,0.95,0.1933,0.0885,-0.0885
0.955,0.95,0.96,0.1905,0.0899,-0.0899
0.965,0.96,0.97,0.1879,0.0914,-0.0914
0.975,0.97,0.98,0.1854,0.093,-0.093
0.985,0.98,0.99,0.1831,0.0948,-0.0948
0.995,0.99,1.0,0.181,0.0966,-0.0966
1.005,1.0,1.01,0.1793,0.0986,-0.0986
1.0150000000000001,1.01,1.02,0.178,0.1006,-0.1006
1.025,1.02,1.03,0.1771,0.1028,-0.1028
1.0350000000000001,1.03,1.04,0.1769,0.105,-0.105
1.045,1.04,1.05,0.1774,0.1074,-0.1074
1.0550000000000002,1.05,1.06,0.1787,0.1098,-0.1098
1.065,1.06,1.07,0.1809,0.1123,-0.1123
1.0750000000000002,1.07,1.08,0.1842,0.1149,-0.1149
1.085,1.08,1.09,0.1887,0.1177,-0.1177
1.0950000000000002,1.09,1.1,0.1946,0.1205,-0.1205
1.105,1.1,1.11,0.2021,0.1236,-0.1236
1.1150000000000002,1.11,1.12,0.2114,0.1267,-0.1267
1.125,1.12,1.13,0.2226,0.1301,-0.1301
1.1349999999999998,1.13,1.14,0.236,0.1338,-0.1338
1.145,1.14,1.15,0.2517,0.1377,-0.1377
1.1549999999999998,1.15,1.16,0.2699,0.142,-0.142
1.165,1.16,1.17,0.2908,0.1466,-0.1466
1.1749999999999998,1.17,1.18,0.3142,0.1517,-0.1517
1.185,1.18,1.19,0.34,0.1572,-0.1572
1.1949999999999998,1.19,1.2,0.3677,0.1631,-0.1631
1.205,1.2,1.21,0.3964,0.1694,-0.1694
1.2149999999999999,1.21,1.22,0.4247,0.1758,-0.1758
1.225,1.22,1.23,0.4506,0.1823,-0.1823
1.2349999999999999,1.23,1.24,0.4716,0.1884,-0.1884
1.245,1.24,1.25,0.4847,0.1939,-0.1939
1.255,1.25,1.26,0.4871,0.1984,-0.1984
1.2650000000000001,1.26,1.27,0.4769,0.2015,-0.2015
1.275,1.27,1.28,0.4535,0.2028,-0.2028
1.2850000000000001,1.28,1.29,0.4184,0.2022,-0.2022
1.295,1.29,1.3,0.3744,0.1993,-0.1993
1.3050000000000002,1.3,1.31,0.3254,0.1943,-0.1943
1.315,1.31,1.32,0.2753,0.1873,-0.1873
1.3250000000000002,1.32,1.33,0.2275,0.1785,-0.1785
1.335,1.33,1.34,0.1843,0.1683,-0.1683
1.3450000000000002,1.34,1.35,0.1472,0.1573,-0.1573
1.355,1.35,1.36,0.1167,0.1462,-0.1462
1.3650000000000002,1.36,1.37,0.0929,0.1359,-0.1359
1.375,1.37,1.38,0.0757,0.1278,-0.1278
1.3849999999999998,1.38,1.39,0.0646,0.1234,-0.1234
1.395,1.39,1.4,0.0591,0.1239,-0.1239

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0715,0.0323,-0.0323
0.415,0.41,0.42,0.0663,0.0304,-0.0304
0.425,0.42,0.43,0.0625,0.0292,-0.0292
0.435,0.43,0.44,0.0602,0.0287,-0.0287
0.445,0.44,0.45,0.0592,0.0289,-0.0289
0.455,0.45,0.46,0.0596,0.0296,-0.0296
0.46499999999999997,0.46,0.47,0.0612,0.0309,-0.0309
0.475,0.47,0.48,0.0639,0.0327,-0.0327
0.485,0.48,0.49,0.0678,0.0347,-0.0347
0.495,0.49,0.5,0.0726,0.037,-0.037
0.505,0.5,0.51,0.0784,0.0394,-0.0394
0.515,0.51,0.52,0.085,0.0418,-0.0418
0.525,0.52,0.53,0.0924,0.0443,-0.0443
0.535,0.53,0.54,0.1005,0.0467,-0.0467
0.545,0.54,0.55,0.1092,0.0491,-0.0491
0.555,0.55,0.56,0.1185,0.0514,-0.0514
0.565,0.56,0.57,0.1282,0.0536,-0.0536
0.575,0.57,0.58,0.1384,0.0557,-0.0557
0.585,0.58,0.59,0.1489,0.0576,-0.0576
0.595,0.59,0.6,0.1597,0.0595,-0.0595
0.605,0.6,0.61,0.1706,0.0612,-0.0612
0.615,0.61,0.62,0.1818,0.0629,-0.0629
0.625,0.62,0.63,0.193,0.0644,-0.0644
0.635,0.63,0.64,0.2042,0.0659,-0.0659
0.645,0.64,0.65,0.2153,0.0674,-0.0674
0.655,0.65,0.66,0.2264,0.0689,-0.0689
0.665,0.66,0.67,0.2373,0.0704,-0.0704
0.675,0.67,0.68,0.248,0.072,-0.072
0.685,0.68,0.69,0.2584,0.0737,-0.0737
0.695,0.69,0.7,0.2686,0.0755,-0.0755
0.705,0.7,0.71,0.2784,0.0776,-0.0776
0.715,0.71,0.72,0.2878,0.0799,-0.0799
0.725,0.72,0.73,0.2967,0.0825,-0.0825
0.735,0.73,0.74,0.3052,0.0854,-0.0854
0.745,0.74,0.75,0.3132,0.0886,-0.0886
0.755,0.75,0.76,0.3207,0.0921,-0.0921
0.765,0.76,0.77,0.3276,0.096,-0.096
0.775,0.77,0.78,0.334,0.1002,-0.1002
0.785,0.78,0.79,0.3398,0.1048,-0.1048
0.795,0.79,0.8,0.3449,0.1097,-0.1097
0.805,0.8,0.81,0.3495,0.1148,-0.1148
0.815,0.81,0.82,0.3534,0.1203,-0.1203
0.825,0.82,0.83,0.3566,0.1259,-0.1259
0.835,0.83,0.84,0.3593,0.1317,-0.1317
0.845,0.84,0.85,0.3612,0.1377,-0.1377
0.855,0.85,0.86,0.3625,0.1437,-0.1437
0.865,0.86,0.87,0.3632,0.1498,-0.1498
0.875,0.87,0.88,0.3632,0.1558,-0.1558
0.885,0.88,0.89,0.3626,0.1619,-0.1619
0.895,0.89,0.9,0.3613,0.1678,-0.1678
0.905,0.9,0.91,0.3595,0.1735,-0.1735
0.915,0.91,0.92,0.357,0.179,-0.179
0.925,0.92,0.93,0.3539,0.1842,-0.1842
0.935,0.93,0.94,0.3502,0.1891,-0.1891
0.945,0.94,0.95,0.346,0.1937,-0.1937
0.955,0.95,0.96,0.3412,0.1978,-0.1978
0.965,0.96,0.97,0.336,0.2014,-0.2014
0.975,0.97,0.98,0.3302,0.2045,-0.2045
0.985,0.98,0.99,0.324,0.2069,-0.2069
0.995,0.99,1.0,0.3174,0.2088,-0.2088
1.005,1.0,1.01,0.3104,0.21,-0.21
1.0150000000000001,1.01,1.02,0.3031,0.2104,-0.2104
1.025,1.02,1.03,0.2955,0.2101,-0.2101
1.0350000000000001,1.03,1.04,0.2876,0.209,-0.209
1.045,1.04,1.05,0.2796,0.2071,-0.2071
1.0550000000000002,1.05,1.06,0.2716,0.2044,-0.2044
1.065,1.06,1.07,0.2635,0.2008,-0.2008
1.0750000000000002,1.07,1.08,0.2556,0.1964,-0.1964
1.085,1.08,1.09,0.2479,0.1913,-0.1913
1.0950000000000002,1.09,1.1,0.2406,0.1854,-0.1854
1.105,1.1,1.11,0.2339,0.1788,-0.1788
1.1150000000000002,1.11,1.12,0.2279,0.1718,-0.1718
1.125,1.12,1.13,0.2228,0.1646,-0.1646
1.1349999999999998,1.13,1.14,0.219,0.1574,-0.1574
1.145,1.14,1.15,0.2166,0.1507,-0.1507
1.1549999999999998,1.15,1.16,0.2161,0.1451,-0.1451
1.165,1.16,1.17,0.2178,0.1413,-0.1413
1.1749999999999998,1.17,1.18,0.222,0.1401,-0.1401
1.185,1.18,1.19,0.2291,0.1421,-0.1421
1.1949999999999998,1.19,1.2,0.2394,0.1479,-0.1479
1.205,1.2,1.21,0.2529,0.1572,-0.1572
1.2149999999999999,1.21,1.22,0.2695,0.1696,-0.1696
1.225,1.22,1.23,0.2884,0.184,-0.184
1.2349999999999999,1.23,1.24,0.3086,0.1992,-0.1992
1.245,1.24,1.25,0.3283,0.2136,-0.2136
1.255,1.25,1.26,0.3451,0.2259,-0.2259
1.2650000000000001,1.26,1.27,0.3567,0.2349,-0.2349
1.275,1.27,1.28,0.361,0.24,-0.24
1.2850000000000001,1.28,1.29,0.357,0.2412,-0.2412
1.295,1.29,1.3,0.3448,0.2392,-0.2392
1.3050000000000002,1.3,1.31,0.3257,0.2348,-0.2348
1.315,1.31,1.32,0.3019,0.229,-0.229
1.3250000000000002,1.32,1.33,0.2755,0.2229,-0.2229
1.335,1.33,1.34,0.2489,0.2171,-0.2171
1.3450000000000002,1.34,1.35,0.2239,0.2122,-0.2122
1.355,1.35,1.36,0.2017,0.2086,-0.2086
1.3650000000000002,1.36,1.37,0.1836,0.2068,-0.2068
1.375,1.37,1.38,0.1701,0.2074,-0.2074
1.3849999999999998,1.38,1.39,0.1618,0.2112,-0.2112
1.395,1.39,1.4,0.159,0.2188,-0.2188

