#: table_doi: 10.17182/hepdata.74824.v1/t121
#: name: Table 121
#: description: D wave cross section for -T.

#: data_file: Table121.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.855,0.85,0.86,1.4308,0.4804,-0.4804
0.865,0.86,0.87,1.4416,0.4721,-0.4721
0.875,0.87,0.88,1.4511,0.4633,-0.4633
0.885,0.88,0.89,1.4592,0.4543,-0.4543
0.895,0.89,0.9,1.466,0.4453,-0.4453
0.905,0.9,0.91,1.4716,0.4363,-0.4363
0.915,0.91,0.92,1.476,0.4276,-0.4276
0.925,0.92,0.93,1.4791,0.4193,-0.4193
0.935,0.93,0.94,1.4811,0.4115,-0.4115
0.945,0.94,0.95,1.4819,0.4042,-0.4042
0.955,0.95,0.96,1.4815,0.3977,-0.3977
0.965,0.96,0.97,1.48,0.3918,-0.3918
0.975,0.97,0.98,1.4773,0.3868,-0.3868
0.985,0.98,0.99,1.4734,0.3825,-0.3825
0.995,0.99,1.0,1.4682,0.3789,-0.3789
1.005,1.0,1.01,1.4618,0.3762,-0.3762
1.0150000000000001,1.01,1.02,1.4541,0.3741,-0.3741
1.025,1.02,1.03,1.4451,0.3727,-0.3727
1.0350000000000001,1.03,1.04,1.4348,0.372,-0.372
1.045,1.04,1.05,1.4231,0.372,-0.372
1.0550000000000002,1.05,1.06,1.41,0.3725,-0.3725
1.065,1.06,1.07,1.3957,0.3736,-0.3736
1.0750000000000002,1.07,1.08,1.38,0.3752,-0.3752
1.085,1.08,1.09,1.3632,0.3774,-0.3774
1.0950000000000002,1.09,1.1,1.3453,0.38,-0.38
1.105,1.1,1.11,1.3265,0.3832,-0.3832
1.1150000000000002,1.11,1.12,1.3073,0.3867,-0.3867
1.125,1.12,1.13,1.288,0.3905,-0.3905
1.1349999999999998,1.13,1.14,1.269,0.3944,-0.3944
1.145,1.14,1.15,1.2513,0.3981,-0.3981
1.1549999999999998,1.15,1.16,1.2355,0.4015,-0.4015
1.165,1.16,1.17,1.2229,0.4039,-0.4039
1.1749999999999998,1.17,1.18,1.2147,0.4051,-0.4051
1.185,1.18,1.19,1.2124,0.4044,-0.4044
1.1949999999999998,1.19,1.2,1.2176,0.4014,-0.4014
1.205,1.2,1.21,1.2318,0.3961,-0.3961
1.2149999999999999,1.21,1.22,1.256,0.3889,-0.3889
1.225,1.22,1.23,1.2904,0.3816,-0.3816
1.2349999999999999,1.23,1.24,1.3338,0.3774,-0.3774
1.245,1.24,1.25,1.383,0.3811,-0.3811
1.255,1.25,1.26,1.4329,0.397,-0.397
1.2650000000000001,1.26,1.27,1.4764,0.4269,-0.4269
1.275,1.27,1.28,1.5064,0.4679,-0.4679
1.2850000000000001,1.28,1.29,1.5168,0.5143,-0.5143
1.295,1.29,1.3,1.5044,0.5599,-0.5599
1.3050000000000002,1.3,1.31,1.4694,0.6003,-0.6003
1.315,1.31,1.32,1.415,0.6332,-0.6332
1.3250000000000002,1.32,1.33,1.3465,0.6584,-0.6584
1.335,1.33,1.34,1.2699,0.6773,-0.6773
1.3450000000000002,1.34,1.35,1.1914,0.6915,-0.6915
1.355,1.35,1.36,1.1165,0.703,-0.703
1.3650000000000002,1.36,1.37,1.0501,0.7135,-0.7135
1.375,1.37,1.38,0.9964,0.7246,-0.7246
1.3849999999999998,1.38,1.39,0.9592,0.7378,-0.7378
1.395,1.39,1.4,0.9419,0.7544,-0.7544

