#: table_doi: 10.17182/hepdata.74824.v1/t116
#: name: Table 116
#: description: Pp wave cross section for -T.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.755,0.75,0.76,11.7197,1.5226,-1.5226
0.765,0.76,0.77,11.8093,1.5548,-1.5548
0.775,0.77,0.78,11.4827,1.539,-1.539
0.785,0.78,0.79,10.8138,1.4818,-1.4818
0.795,0.79,0.8,9.9205,1.3958,-1.3958
0.805,0.8,0.81,8.9228,1.2948,-1.2948
0.815,0.81,0.82,7.916,1.1899,-1.1899
0.825,0.82,0.83,6.962,1.0891,-1.0891
0.835,0.83,0.84,6.0935,0.9966,-0.9966
0.845,0.84,0.85,5.3226,0.9143,-0.9143
0.855,0.85,0.86,4.6491,0.8424,-0.8424
0.865,0.86,0.87,4.0659,0.7801,-0.7801
0.875,0.87,0.88,3.5636,0.7265,-0.7265
0.885,0.88,0.89,3.1318,0.6801,-0.6801
0.895,0.89,0.9,2.7609,0.6399,-0.6399
0.905,0.9,0.91,2.4422,0.6048,-0.6048
0.915,0.91,0.92,2.168,0.5737,-0.5737
0.925,0.92,0.93,1.9319,0.5459,-0.5459
0.935,0.93,0.94,1.7282,0.5208,-0.5208
0.945,0.94,0.95,1.5525,0.4978,-0.4978
0.955,0.95,0.96,1.4007,0.4765,-0.4765
0.965,0.96,0.97,1.2695,0.4565,-0.4565
0.975,0.97,0.98,1.1562,0.4377,-0.4377
0.985,0.98,0.99,1.0583,0.4199,-0.4199
0.995,0.99,1.0,0.9739,0.403,-0.403
1.005,1.0,1.01,0.9013,0.3868,-0.3868
1.0150000000000001,1.01,1.02,0.8388,0.3715,-0.3715
1.025,1.02,1.03,0.7853,0.3569,-0.3569
1.0350000000000001,1.03,1.04,0.7395,0.3433,-0.3433
1.045,1.04,1.05,0.7005,0.3305,-0.3305
1.0550000000000002,1.05,1.06,0.6674,0.3187,-0.3187
1.065,1.06,1.07,0.6395,0.308,-0.308
1.0750000000000002,1.07,1.08,0.6159,0.2985,-0.2985
1.085,1.08,1.09,0.5961,0.2902,-0.2902
1.0950000000000002,1.09,1.1,0.5794,0.2831,-0.2831
1.105,1.1,1.11,0.5655,0.2774,-0.2774
1.1150000000000002,1.11,1.12,0.5537,0.2729,-0.2729
1.125,1.12,1.13,0.5437,0.2697,-0.2697
1.1349999999999998,1.13,1.14,0.5351,0.2676,-0.2676
1.145,1.14,1.15,0.5275,0.2666,-0.2666
1.1549999999999998,1.15,1.16,0.5206,0.2665,-0.2665
1.165,1.16,1.17,0.5141,0.2671,-0.2671
1.1749999999999998,1.17,1.18,0.5077,0.2682,-0.2682
1.185,1.18,1.19,0.5013,0.2698,-0.2698
1.1949999999999998,1.19,1.2,0.4945,0.2716,-0.2716
1.205,1.2,1.21,0.4872,0.2735,-0.2735
1.2149999999999999,1.21,1.22,0.4794,0.2752,-0.2752
1.225,1.22,1.23,0.4708,0.2768,-0.2768
1.2349999999999999,1.23,1.24,0.4614,0.2781,-0.2781
1.245,1.24,1.25,0.4513,0.2791,-0.2791
1.255,1.25,1.26,0.4403,0.2796,-0.2796
1.2650000000000001,1.26,1.27,0.4285,0.2797,-0.2797
1.275,1.27,1.28,0.4161,0.2794,-0.2794
1.2850000000000001,1.28,1.29,0.4031,0.2787,-0.2787
1.295,1.29,1.3,0.3897,0.2777,-0.2777
1.3050000000000002,1.3,1.31,0.3763,0.2766,-0.2766
1.315,1.31,1.32,0.363,0.2755,-0.2755
1.3250000000000002,1.32,1.33,0.3502,0.2746,-0.2746
1.335,1.33,1.34,0.3384,0.2742,-0.2742
1.3450000000000002,1.34,1.35,0.3281,0.2747,-0.2747
1.355,1.35,1.36,0.3197,0.2763,-0.2763
1.3650000000000002,1.36,1.37,0.3139,0.2796,-0.2796
1.375,1.37,1.38,0.3115,0.2851,-0.2851
1.3849999999999998,1.38,1.39,0.3132,0.2934,-0.2934
1.395,1.39,1.4,0.3199,0.3052,-0.3052

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0743,0.0276,-0.0276
0.415,0.41,0.42,0.0789,0.0275,-0.0275
0.425,0.42,0.43,0.084,0.0278,-0.0278
0.435,0.43,0.44,0.0896,0.0289,-0.0289
0.445,0.44,0.45,0.0961,0.031,-0.031
0.455,0.45,0.46,0.1038,0.0346,-0.0346
0.46499999999999997,0.46,0.47,0.1132,0.0395,-0.0395
0.475,0.47,0.48,0.1245,0.0459,-0.0459
0.485,0.48,0.49,0.1384,0.0535,-0.0535
0.495,0.49,0.5,0.1553,0.0623,-0.0623
0.505,0.5,0.51,0.1761,0.0722,-0.0722
0.515,0.51,0.52,0.2015,0.0832,-0.0832
0.525,0.52,0.53,0.2325,0.0951,-0.0951
0.535,0.53,0.54,0.2703,0.108,-0.108
0.545,0.54,0.55,0.3162,0.1219,-0.1219
