#: table_doi: 10.17182/hepdata.74824.v1/t145
#: name: Table 145
#: description: F wave cross section for -T.

#: data_file: Table145.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.825,0.82,0.83,1.0536,0.6191,-0.6191
0.835,0.83,0.84,1.052,0.6139,-0.6139
0.845,0.84,0.85,1.0493,0.6079,-0.6079
0.855,0.85,0.86,1.0457,0.6011,-0.6011
0.865,0.86,0.87,1.0412,0.5936,-0.5936
0.875,0.87,0.88,1.0357,0.5854,-0.5854
0.885,0.88,0.89,1.0294,0.5764,-0.5764
0.895,0.89,0.9,1.0223,0.5668,-0.5668
0.905,0.9,0.91,1.0143,0.5565,-0.5565
0.915,0.91,0.92,1.0057,0.5456,-0.5456
0.925,0.92,0.93,0.9963,0.5341,-0.5341
0.935,0.93,0.94,0.9862,0.522,-0.522
0.945,0.94,0.95,0.9755,0.5094,-0.5094
0.955,0.95,0.96,0.9642,0.4963,-0.4963
0.965,0.96,0.97,0.9524,0.4826,-0.4826
0.975,0.97,0.98,0.9401,0.4686,-0.4686
0.985,0.98,0.99,0.9274,0.4541,-0.4541
0.995,0.99,1.0,0.9143,0.4392,-0.4392
1.005,1.0,1.01,0.9008,0.424,-0.424
1.0150000000000001,1.01,1.02,0.8871,0.4086,-0.4086
1.025,1.02,1.03,0.8731,0.3929,-0.3929
1.0350000000000001,1.03,1.04,0.859,0.377,-0.377
1.045,1.04,1.05,0.8448,0.361,-0.361
1.0550000000000002,1.05,1.06,0.8305,0.3449,-0.3449
1.065,1.06,1.07,0.8163,0.3287,-0.3287
1.0750000000000002,1.07,1.08,0.8022,0.3127,-0.3127
1.085,1.08,1.09,0.7882,0.2968,-0.2968
1.0950000000000002,1.09,1.1,0.7744,0.2812,-0.2812
1.105,1.1,1.11,0.7609,0.2659,-0.2659
1.1150000000000002,1.11,1.12,0.7478,0.251,-0.251
1.125,1.12,1.13,0.7351,0.2367,-0.2367
1.1349999999999998,1.13,1.14,0.7229,0.2232,-0.2232
1.145,1.14,1.15,0.7113,0.2106,-0.2106
1.1549999999999998,1.15,1.16,0.7004,0.1991,-0.1991
1.165,1.16,1.17,0.6903,0.1888,-0.1888
1.1749999999999998,1.17,1.18,0.6809,0.1801,-0.1801
1.185,1.18,1.19,0.6725,0.1731,-0.1731
1.1949999999999998,1.19,1.2,0.6651,0.168,-0.168
1.205,1.2,1.21,0.6589,0.1648,-0.1648
1.2149999999999999,1.21,1.22,0.6537,0.1638,-0.1638
1.225,1.22,1.23,0.6499,0.1647,-0.1647
1.2349999999999999,1.23,1.24,0.6475,0.1676,-0.1676
1.245,1.24,1.25,0.6465,0.1721,-0.1721
1.255,1.25,1.26,0.6471,0.1782,-0.1782
1.2650000000000001,1.26,1.27,0.6493,0.1856,-0.1856
1.275,1.27,1.28,0.6534,0.194,-0.194
1.2850000000000001,1.28,1.29,0.6593,0.2034,-0.2034
1.295,1.29,1.3,0.6672,0.2134,-0.2134
1.3050000000000002,1.3,1.31,0.6772,0.2239,-0.2239
1.315,1.31,1.32,0.6894,0.235,-0.235
1.3250000000000002,1.32,1.33,0.7039,0.2464,-0.2464
1.335,1.33,1.34,0.7208,0.2583,-0.2583
1.3450000000000002,1.34,1.35,0.7403,0.2704,-0.2704
1.355,1.35,1.36,0.7625,0.283,-0.283
1.3650000000000002,1.36,1.37,0.7875,0.2959,-0.2959
1.375,1.37,1.38,0.8154,0.3093,-0.3093
1.3849999999999998,1.38,1.39,0.8463,0.3233,-0.3233
1.395,1.39,1.4,0.8804,0.3379,-0.3379

