#: table_doi: 10.17182/hepdata.74824.v1/t195
#: name: Table 195
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table195.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
0.855,0.85,0.86,-0.055,0.03,-0.03
0.865,0.86,0.87,-0.0557,0.0336,-0.0336
0.875,0.87,0.88,-0.0563,0.0368,-0.0368
0.885,0.88,0.89,-0.0567,0.0394,-0.0394
0.895,0.89,0.9,-0.057,0.0412,-0.0412
0.905,0.9,0.91,-0.0573,0.0423,-0.0423
0.915,0.91,0.92,-0.0575,0.0424,-0.0424
0.925,0.92,0.93,-0.0577,0.0417,-0.0417
0.935,0.93,0.94,-0.058,0.0402,-0.0402
0.945,0.94,0.95,-0.0583,0.0379,-0.0379
0.955,0.95,0.96,-0.0587,0.035,-0.035
0.965,0.96,0.97,-0.0587,0.032,-0.032
0.975,0.97,0.98,-0.0568,0.0307,-0.0307
0.985,0.98,0.99,-0.0434,0.0391,-0.0391
0.995,0.99,1.0,-0.0303,0.0293,-0.0293
1.005,1.0,1.01,-0.0287,0.0182,-0.0182
1.0150000000000001,1.01,1.02,-0.0247,0.0158,-0.0158
1.025,1.02,1.03,-0.0207,0.0157,-0.0157
1.0350000000000001,1.03,1.04,-0.017,0.0162,-0.0162
1.045,1.04,1.05,-0.0137,0.0167,-0.0167
1.0550000000000002,1.05,1.06,-0.0107,0.0171,-0.0171
1.065,1.06,1.07,-0.0081,0.0172,-0.0172
1.0750000000000002,1.07,1.08,-0.0059,0.0172,-0.0172
1.085,1.08,1.09,-0.0039,0.017,-0.017
1.0950000000000002,1.09,1.1,-0.0022,0.0167,-0.0167
1.105,1.1,1.11,-0.0007,0.0164,-0.0164
1.1150000000000002,1.11,1.12,0.0007,0.0162,-0.0162
1.125,1.12,1.13,0.0018,0.0161,-0.0161
1.1349999999999998,1.13,1.14,0.0029,0.0164,-0.0164
1.145,1.14,1.15,0.0038,0.017,-0.017
1.1549999999999998,1.15,1.16,0.0047,0.0181,-0.0181
1.165,1.16,1.17,0.0057,0.0197,-0.0197
1.1749999999999998,1.17,1.18,0.0066,0.0216,-0.0216
1.185,1.18,1.19,0.0076,0.0237,-0.0237
1.1949999999999998,1.19,1.2,0.0087,0.0258,-0.0258
1.205,1.2,1.21,0.0099,0.0276,-0.0276
1.2149999999999999,1.21,1.22,0.0112,0.0291,-0.0291
1.225,1.22,1.23,0.0126,0.03,-0.03
1.2349999999999999,1.23,1.24,0.0142,0.0302,-0.0302
1.245,1.24,1.25,0.0159,0.0297,-0.0297
1.255,1.25,1.26,0.0176,0.0286,-0.0286
1.2650000000000001,1.26,1.27,0.0195,0.0271,-0.0271
1.275,1.27,1.28,0.0216,0.0254,-0.0254
1.2850000000000001,1.28,1.29,0.0237,0.0238,-0.0238
1.295,1.29,1.3,0.0261,0.0225,-0.0225
1.3050000000000002,1.3,1.31,0.0285,0.0216,-0.0216
1.315,1.31,1.32,0.031,0.0213,-0.0213
1.3250000000000002,1.32,1.33,0.0335,0.0218,-0.0218
1.335,1.33,1.34,0.0359,0.0232,-0.0232
1.3450000000000002,1.34,1.35,0.038,0.0256,-0.0256
1.355,1.35,1.36,0.0395,0.029,-0.029
1.3650000000000002,1.36,1.37,0.0402,0.033,-0.033
1.375,1.37,1.38,0.0397,0.037,-0.037
1.3849999999999998,1.38,1.39,0.0379,0.0407,-0.0407
1.395,1.39,1.4,0.0346,0.0434,-0.0434

