#: table_doi: 10.17182/hepdata.74824.v1/t164
#: name: Table 164
#: description: Fp wave cross section for -T.

#: data_file: Table164.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
1.225,1.22,1.23,0.1689,0.1725,-0.1725
1.2349999999999999,1.23,1.24,0.1691,0.1695,-0.1695
1.245,1.24,1.25,0.1695,0.1664,-0.1664
1.255,1.25,1.26,0.17,0.1632,-0.1632
1.2650000000000001,1.26,1.27,0.1708,0.16,-0.16
1.275,1.27,1.28,0.1717,0.1567,-0.1567
1.2850000000000001,1.28,1.29,0.1729,0.1533,-0.1533
1.295,1.29,1.3,0.1743,0.15,-0.15
1.3050000000000002,1.3,1.31,0.176,0.1468,-0.1468
1.315,1.31,1.32,0.1779,0.1436,-0.1436
1.3250000000000002,1.32,1.33,0.1801,0.1407,-0.1407
1.335,1.33,1.34,0.1826,0.1379,-0.1379
1.3450000000000002,1.34,1.35,0.1854,0.1355,-0.1355
1.355,1.35,1.36,0.1885,0.1334,-0.1334
1.3650000000000002,1.36,1.37,0.1919,0.1319,-0.1319
1.375,1.37,1.38,0.1957,0.1309,-0.1309
1.3849999999999998,1.38,1.39,0.1999,0.1307,-0.1307
1.395,1.39,1.4,0.2045,0.1312,-0.1312

