#: table_doi: 10.17182/hepdata.74824.v1/t103
#: name: Table 103
#: description: Pm wave cross section for -T.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
1.2650000000000001,1.26,1.27,0.416,0.2849,-0.2849
1.275,1.27,1.28,0.3988,0.2852,-0.2852
1.2850000000000001,1.28,1.29,0.3812,0.2857,-0.2857
1.295,1.29,1.3,0.3634,0.2867,-0.2867
1.3050000000000002,1.3,1.31,0.3458,0.2883,-0.2883
1.315,1.31,1.32,0.3289,0.291,-0.291
1.3250000000000002,1.32,1.33,0.313,0.295,-0.295
1.335,1.33,1.34,0.2987,0.3007,-0.3007
1.3450000000000002,1.34,1.35,0.2865,0.3085,-0.3085
1.355,1.35,1.36,0.2772,0.3187,-0.3187
1.3650000000000002,1.36,1.37,0.2713,0.3316,-0.3316
1.375,1.37,1.38,0.2697,0.3474,-0.3474
1.3849999999999998,1.38,1.39,0.2732,0.3663,-0.3663
1.395,1.39,1.4,0.2828,0.3883,-0.3883

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0939,0.0431,-0.0431
0.415,0.41,0.42,0.098,0.0443,-0.0443
0.425,0.42,0.43,0.1019,0.0455,-0.0455
0.435,0.43,0.44,0.1057,0.0469,-0.0469
0.445,0.44,0.45,0.1095,0.0487,-0.0487
0.455,0.45,0.46,0.1136,0.0513,-0.0513
0.46499999999999997,0.46,0.47,0.1181,0.0549,-0.0549
0.475,0.47,0.48,0.1233,0.0599,-0.0599
0.485,0.48,0.49,0.1295,0.0667,-0.0667
0.495,0.49,0.5,0.137,0.0755,-0.0755
0.505,0.5,0.51,0.1463,0.0865,-0.0865
0.515,0.51,0.52,0.1578,0.0999,-0.0999
0.525,0.52,0.53,0.1722,0.1161,-0.1161
0.535,0.53,0.54,0.1902,0.1352,-0.1352
0.545,0.54,0.55,0.2126,0.1578,-0.1578
0.555,0.55,0.56,0.2404,0.1841,-0.1841
0.565,0.56,0.57,0.275,0.2148,-0.2148
0.575,0.57,0.58,0.3179,0.2506,-0.2506
0.585,0.58,0.59,0.3709,0.2923,-0.2923
0.595,0.59,0.6,0.4364,0.341,-0.341
0.605,0.6,0.61,0.5172,0.398,-0.398
0.615,0.61,0.62,0.6168,0.4648,-0.4648
0.625,0.62,0.63,0.7396,0.5434,-0.5434
0.635,0.63,0.64,0.8908,0.6361,-0.6361
0.645,0.64,0.65,1.077,0.7456,-0.7456
0.655,0.65,0.66,1.3058,0.8751,-0.8751
0.665,0.66,0.67,1.5863,1.0281,-1.0281
